weekday_name,month,leap_year_condition,decade,output,output_year,output_day
3,1,1,200,1-1-2004,4,1
5,1,0,200,1-1-2005,5,1
6,1,0,200,1-1-2006,6,1
0,1,0,200,1-1-2007,7,1
1,1,1,200,1-1-2008,8,1
3,1,0,200,1-1-2009,9,1
4,1,0,201,1-1-2010,0,1
5,1,0,201,1-1-2011,1,1
6,1,1,201,1-1-2012,2,1
1,1,0,201,1-1-2013,3,1
2,1,0,201,1-1-2014,4,1
3,1,0,201,1-1-2015,5,1
4,1,1,201,1-1-2016,6,1
6,1,0,201,1-1-2017,7,1
0,1,0,201,1-1-2018,8,1
1,1,0,201,1-1-2019,9,1
2,1,1,202,1-1-2020,0,1
4,1,0,202,1-1-2021,1,1
5,1,0,202,1-1-2022,2,1
6,1,0,202,1-1-2023,3,1
0,1,1,202,1-1-2024,4,1
2,1,0,202,1-1-2025,5,1
3,1,0,202,1-1-2026,6,1
4,1,0,202,1-1-2027,7,1
5,1,1,202,1-1-2028,8,1
0,1,0,202,1-1-2029,9,1
1,1,0,203,1-1-2030,0,1
2,1,0,203,1-1-2031,1,1
3,1,1,203,1-1-2032,2,1
5,1,0,203,1-1-2033,3,1
6,1,0,203,1-1-2034,4,1
0,1,0,203,1-1-2035,5,1
1,1,1,203,1-1-2036,6,1
3,1,0,203,1-1-2037,7,1
4,1,0,203,1-1-2038,8,1
5,1,0,203,1-1-2039,9,1
6,1,1,204,1-1-2040,0,1
1,1,0,204,1-1-2041,1,1
2,1,0,204,1-1-2042,2,1
3,1,0,204,1-1-2043,3,1
4,1,1,204,1-1-2044,4,1
6,1,0,204,1-1-2045,5,1
0,1,0,204,1-1-2046,6,1
1,1,0,204,1-1-2047,7,1
2,1,1,204,1-1-2048,8,1
4,1,0,204,1-1-2049,9,1
5,1,0,205,1-1-2050,0,1
6,1,0,205,1-1-2051,1,1
0,1,1,205,1-1-2052,2,1
2,1,0,205,1-1-2053,3,1
3,1,0,205,1-1-2054,4,1
4,1,0,205,1-1-2055,5,1
5,1,1,205,1-1-2056,6,1
0,1,0,205,1-1-2057,7,1
1,1,0,205,1-1-2058,8,1
2,1,0,205,1-1-2059,9,1
3,1,1,206,1-1-2060,0,1
5,1,0,206,1-1-2061,1,1
6,1,0,206,1-1-2062,2,1
0,1,0,206,1-1-2063,3,1
1,1,1,206,1-1-2064,4,1
3,1,0,206,1-1-2065,5,1
4,1,0,206,1-1-2066,6,1
5,1,0,206,1-1-2067,7,1
6,1,1,206,1-1-2068,8,1
1,1,0,206,1-1-2069,9,1
2,1,0,207,1-1-2070,0,1
3,1,0,207,1-1-2071,1,1
4,1,1,207,1-1-2072,2,1
6,1,0,207,1-1-2073,3,1
0,1,0,207,1-1-2074,4,1
1,1,0,207,1-1-2075,5,1
2,1,1,207,1-1-2076,6,1
4,1,0,207,1-1-2077,7,1
5,1,0,207,1-1-2078,8,1
6,1,0,207,1-1-2079,9,1
0,1,1,208,1-1-2080,0,1
2,1,0,208,1-1-2081,1,1
3,1,0,208,1-1-2082,2,1
4,1,0,208,1-1-2083,3,1
5,1,1,208,1-1-2084,4,1
0,1,0,208,1-1-2085,5,1
1,1,0,208,1-1-2086,6,1
2,1,0,208,1-1-2087,7,1
3,1,1,208,1-1-2088,8,1
5,1,0,208,1-1-2089,9,1
6,1,0,209,1-1-2090,0,1
0,1,0,209,1-1-2091,1,1
1,1,1,209,1-1-2092,2,1
3,1,0,209,1-1-2093,3,1
4,1,0,209,1-1-2094,4,1
5,1,0,209,1-1-2095,5,1
6,1,1,209,1-1-2096,6,1
1,1,0,209,1-1-2097,7,1
2,1,0,209,1-1-2098,8,1
3,1,0,209,1-1-2099,9,1
4,1,0,210,1-1-2100,0,1
5,1,0,210,1-1-2101,1,1
6,1,0,210,1-1-2102,2,1
0,1,0,210,1-1-2103,3,1
1,1,1,210,1-1-2104,4,1
3,1,0,210,1-1-2105,5,1
4,1,0,210,1-1-2106,6,1
5,1,0,210,1-1-2107,7,1
6,1,1,210,1-1-2108,8,1
1,1,0,210,1-1-2109,9,1
2,1,0,211,1-1-2110,0,1
3,1,0,211,1-1-2111,1,1
4,1,1,211,1-1-2112,2,1
6,1,0,211,1-1-2113,3,1
0,1,0,211,1-1-2114,4,1
1,1,0,211,1-1-2115,5,1
2,1,1,211,1-1-2116,6,1
4,1,0,211,1-1-2117,7,1
5,1,0,211,1-1-2118,8,1
6,1,0,211,1-1-2119,9,1
0,1,1,212,1-1-2120,0,1
2,1,0,212,1-1-2121,1,1
3,1,0,212,1-1-2122,2,1
4,1,0,212,1-1-2123,3,1
5,1,1,212,1-1-2124,4,1
0,1,0,212,1-1-2125,5,1
1,1,0,212,1-1-2126,6,1
2,1,0,212,1-1-2127,7,1
3,1,1,212,1-1-2128,8,1
5,1,0,212,1-1-2129,9,1
6,1,0,213,1-1-2130,0,1
0,1,0,213,1-1-2131,1,1
1,1,1,213,1-1-2132,2,1
3,1,0,213,1-1-2133,3,1
4,1,0,213,1-1-2134,4,1
5,1,0,213,1-1-2135,5,1
6,1,1,213,1-1-2136,6,1
1,1,0,213,1-1-2137,7,1
2,1,0,213,1-1-2138,8,1
3,1,0,213,1-1-2139,9,1
4,1,1,214,1-1-2140,0,1
6,1,0,214,1-1-2141,1,1
0,1,0,214,1-1-2142,2,1
1,1,0,214,1-1-2143,3,1
2,1,1,214,1-1-2144,4,1
4,1,0,214,1-1-2145,5,1
5,1,0,214,1-1-2146,6,1
6,1,0,214,1-1-2147,7,1
0,1,1,214,1-1-2148,8,1
2,1,0,214,1-1-2149,9,1
3,1,0,215,1-1-2150,0,1
4,1,0,215,1-1-2151,1,1
5,1,1,215,1-1-2152,2,1
0,1,0,215,1-1-2153,3,1
1,1,0,215,1-1-2154,4,1
2,1,0,215,1-1-2155,5,1
3,1,1,215,1-1-2156,6,1
5,1,0,215,1-1-2157,7,1
6,1,0,215,1-1-2158,8,1
0,1,0,215,1-1-2159,9,1
1,1,1,216,1-1-2160,0,1
3,1,0,216,1-1-2161,1,1
4,1,0,216,1-1-2162,2,1
5,1,0,216,1-1-2163,3,1
6,1,1,216,1-1-2164,4,1
1,1,0,216,1-1-2165,5,1
2,1,0,216,1-1-2166,6,1
3,1,0,216,1-1-2167,7,1
4,1,1,216,1-1-2168,8,1
6,1,0,216,1-1-2169,9,1
0,1,0,217,1-1-2170,0,1
1,1,0,217,1-1-2171,1,1
2,1,1,217,1-1-2172,2,1
4,1,0,217,1-1-2173,3,1
5,1,0,217,1-1-2174,4,1
6,1,0,217,1-1-2175,5,1
0,1,1,217,1-1-2176,6,1
2,1,0,217,1-1-2177,7,1
3,1,0,217,1-1-2178,8,1
4,1,0,217,1-1-2179,9,1
5,1,1,218,1-1-2180,0,1
0,1,0,218,1-1-2181,1,1
1,1,0,218,1-1-2182,2,1
2,1,0,218,1-1-2183,3,1
3,1,1,218,1-1-2184,4,1
5,1,0,218,1-1-2185,5,1
6,1,0,218,1-1-2186,6,1
0,1,0,218,1-1-2187,7,1
1,1,1,218,1-1-2188,8,1
3,1,0,218,1-1-2189,9,1
4,1,0,219,1-1-2190,0,1
5,1,0,219,1-1-2191,1,1
6,1,1,219,1-1-2192,2,1
1,1,0,219,1-1-2193,3,1
2,1,0,219,1-1-2194,4,1
3,1,0,219,1-1-2195,5,1
4,1,1,219,1-1-2196,6,1
6,1,0,219,1-1-2197,7,1
0,1,0,219,1-1-2198,8,1
1,1,0,219,1-1-2199,9,1
2,1,0,220,1-1-2200,0,1
5,2,0,180,1-2-1800,0,1
6,2,0,180,1-2-1801,1,1
0,2,0,180,1-2-1802,2,1
1,2,0,180,1-2-1803,3,1
2,2,1,180,1-2-1804,4,1
4,2,0,180,1-2-1805,5,1
5,2,0,180,1-2-1806,6,1
6,2,0,180,1-2-1807,7,1
0,2,1,180,1-2-1808,8,1
2,2,0,180,1-2-1809,9,1
3,2,0,181,1-2-1810,0,1
4,2,0,181,1-2-1811,1,1
5,2,1,181,1-2-1812,2,1
0,2,0,181,1-2-1813,3,1
1,2,0,181,1-2-1814,4,1
2,2,0,181,1-2-1815,5,1
3,2,1,181,1-2-1816,6,1
5,2,0,181,1-2-1817,7,1
6,2,0,181,1-2-1818,8,1
0,2,0,181,1-2-1819,9,1
1,2,1,182,1-2-1820,0,1
3,2,0,182,1-2-1821,1,1
4,2,0,182,1-2-1822,2,1
5,2,0,182,1-2-1823,3,1
6,2,1,182,1-2-1824,4,1
1,2,0,182,1-2-1825,5,1
2,2,0,182,1-2-1826,6,1
3,2,0,182,1-2-1827,7,1
4,2,1,182,1-2-1828,8,1
6,2,0,182,1-2-1829,9,1
0,2,0,183,1-2-1830,0,1
1,2,0,183,1-2-1831,1,1
2,2,1,183,1-2-1832,2,1
4,2,0,183,1-2-1833,3,1
5,2,0,183,1-2-1834,4,1
6,2,0,183,1-2-1835,5,1
0,2,1,183,1-2-1836,6,1
2,2,0,183,1-2-1837,7,1
3,2,0,183,1-2-1838,8,1
4,2,0,183,1-2-1839,9,1
5,2,1,184,1-2-1840,0,1
0,2,0,184,1-2-1841,1,1
1,2,0,184,1-2-1842,2,1
2,2,0,184,1-2-1843,3,1
3,2,1,184,1-2-1844,4,1
5,2,0,184,1-2-1845,5,1
6,2,0,184,1-2-1846,6,1
0,2,0,184,1-2-1847,7,1
1,2,1,184,1-2-1848,8,1
3,2,0,184,1-2-1849,9,1
4,2,0,185,1-2-1850,0,1
5,2,0,185,1-2-1851,1,1
6,2,1,185,1-2-1852,2,1
1,2,0,185,1-2-1853,3,1
2,2,0,185,1-2-1854,4,1
3,2,0,185,1-2-1855,5,1
4,2,1,185,1-2-1856,6,1
6,2,0,185,1-2-1857,7,1
0,2,0,185,1-2-1858,8,1
1,2,0,185,1-2-1859,9,1
2,2,1,186,1-2-1860,0,1
4,2,0,186,1-2-1861,1,1
5,2,0,186,1-2-1862,2,1
6,2,0,186,1-2-1863,3,1
0,2,1,186,1-2-1864,4,1
2,2,0,186,1-2-1865,5,1
3,2,0,186,1-2-1866,6,1
4,2,0,186,1-2-1867,7,1
5,2,1,186,1-2-1868,8,1
0,2,0,186,1-2-1869,9,1
1,2,0,187,1-2-1870,0,1
2,2,0,187,1-2-1871,1,1
3,2,1,187,1-2-1872,2,1
5,2,0,187,1-2-1873,3,1
6,2,0,187,1-2-1874,4,1
0,2,0,187,1-2-1875,5,1
1,2,1,187,1-2-1876,6,1
3,2,0,187,1-2-1877,7,1
4,2,0,187,1-2-1878,8,1
5,2,0,187,1-2-1879,9,1
6,2,1,188,1-2-1880,0,1
1,2,0,188,1-2-1881,1,1
2,2,0,188,1-2-1882,2,1
3,2,0,188,1-2-1883,3,1
4,2,1,188,1-2-1884,4,1
6,2,0,188,1-2-1885,5,1
0,2,0,188,1-2-1886,6,1
1,2,0,188,1-2-1887,7,1
2,2,1,188,1-2-1888,8,1
4,2,0,188,1-2-1889,9,1
5,2,0,189,1-2-1890,0,1
6,2,0,189,1-2-1891,1,1
0,2,1,189,1-2-1892,2,1
2,2,0,189,1-2-1893,3,1
3,2,0,189,1-2-1894,4,1
4,2,0,189,1-2-1895,5,1
5,2,1,189,1-2-1896,6,1
0,2,0,189,1-2-1897,7,1
1,2,0,189,1-2-1898,8,1
2,2,0,189,1-2-1899,9,1
3,2,0,190,1-2-1900,0,1
4,2,0,190,1-2-1901,1,1
5,2,0,190,1-2-1902,2,1
6,2,0,190,1-2-1903,3,1
0,2,1,190,1-2-1904,4,1
2,2,0,190,1-2-1905,5,1
3,2,0,190,1-2-1906,6,1
4,2,0,190,1-2-1907,7,1
5,2,1,190,1-2-1908,8,1
0,2,0,190,1-2-1909,9,1
1,2,0,191,1-2-1910,0,1
2,2,0,191,1-2-1911,1,1
3,2,1,191,1-2-1912,2,1
5,2,0,191,1-2-1913,3,1
6,2,0,191,1-2-1914,4,1
0,2,0,191,1-2-1915,5,1
1,2,1,191,1-2-1916,6,1
3,2,0,191,1-2-1917,7,1
4,2,0,191,1-2-1918,8,1
5,2,0,191,1-2-1919,9,1
6,2,1,192,1-2-1920,0,1
1,2,0,192,1-2-1921,1,1
2,2,0,192,1-2-1922,2,1
3,2,0,192,1-2-1923,3,1
4,2,1,192,1-2-1924,4,1
6,2,0,192,1-2-1925,5,1
0,2,0,192,1-2-1926,6,1
1,2,0,192,1-2-1927,7,1
2,2,1,192,1-2-1928,8,1
4,2,0,192,1-2-1929,9,1
5,2,0,193,1-2-1930,0,1
6,2,0,193,1-2-1931,1,1
0,2,1,193,1-2-1932,2,1
2,2,0,193,1-2-1933,3,1
3,2,0,193,1-2-1934,4,1
4,2,0,193,1-2-1935,5,1
5,2,1,193,1-2-1936,6,1
0,2,0,193,1-2-1937,7,1
1,2,0,193,1-2-1938,8,1
2,2,0,193,1-2-1939,9,1
3,2,1,194,1-2-1940,0,1
5,2,0,194,1-2-1941,1,1
6,2,0,194,1-2-1942,2,1
0,2,0,194,1-2-1943,3,1
1,2,1,194,1-2-1944,4,1
3,2,0,194,1-2-1945,5,1
4,2,0,194,1-2-1946,6,1
5,2,0,194,1-2-1947,7,1
6,2,1,194,1-2-1948,8,1
1,2,0,194,1-2-1949,9,1
2,2,0,195,1-2-1950,0,1
3,2,0,195,1-2-1951,1,1
4,2,1,195,1-2-1952,2,1
6,2,0,195,1-2-1953,3,1
0,2,0,195,1-2-1954,4,1
1,2,0,195,1-2-1955,5,1
2,2,1,195,1-2-1956,6,1
4,2,0,195,1-2-1957,7,1
5,2,0,195,1-2-1958,8,1
6,2,0,195,1-2-1959,9,1
0,2,1,196,1-2-1960,0,1
2,2,0,196,1-2-1961,1,1
3,2,0,196,1-2-1962,2,1
4,2,0,196,1-2-1963,3,1
5,2,1,196,1-2-1964,4,1
0,2,0,196,1-2-1965,5,1
1,2,0,196,1-2-1966,6,1
2,2,0,196,1-2-1967,7,1
3,2,1,196,1-2-1968,8,1
5,2,0,196,1-2-1969,9,1
6,2,0,197,1-2-1970,0,1
0,2,0,197,1-2-1971,1,1
1,2,1,197,1-2-1972,2,1
3,2,0,197,1-2-1973,3,1
4,2,0,197,1-2-1974,4,1
5,2,0,197,1-2-1975,5,1
6,2,1,197,1-2-1976,6,1
1,2,0,197,1-2-1977,7,1
2,2,0,197,1-2-1978,8,1
3,2,0,197,1-2-1979,9,1
4,2,1,198,1-2-1980,0,1
6,2,0,198,1-2-1981,1,1
0,2,0,198,1-2-1982,2,1
1,2,0,198,1-2-1983,3,1
2,2,1,198,1-2-1984,4,1
4,2,0,198,1-2-1985,5,1
5,2,0,198,1-2-1986,6,1
6,2,0,198,1-2-1987,7,1
0,2,1,198,1-2-1988,8,1
2,2,0,198,1-2-1989,9,1
3,2,0,199,1-2-1990,0,1
4,2,0,199,1-2-1991,1,1
5,2,1,199,1-2-1992,2,1
0,2,0,199,1-2-1993,3,1
1,2,0,199,1-2-1994,4,1
2,2,0,199,1-2-1995,5,1
3,2,1,199,1-2-1996,6,1
5,2,0,199,1-2-1997,7,1
6,2,0,199,1-2-1998,8,1
0,2,0,199,1-2-1999,9,1
1,2,1,200,1-2-2000,0,1
3,2,0,200,1-2-2001,1,1
4,2,0,200,1-2-2002,2,1
5,2,0,200,1-2-2003,3,1
6,2,1,200,1-2-2004,4,1
1,2,0,200,1-2-2005,5,1
2,2,0,200,1-2-2006,6,1
3,2,0,200,1-2-2007,7,1
4,2,1,200,1-2-2008,8,1
6,2,0,200,1-2-2009,9,1
0,2,0,201,1-2-2010,0,1
1,2,0,201,1-2-2011,1,1
2,2,1,201,1-2-2012,2,1
4,2,0,201,1-2-2013,3,1
5,2,0,201,1-2-2014,4,1
6,2,0,201,1-2-2015,5,1
0,2,1,201,1-2-2016,6,1
2,2,0,201,1-2-2017,7,1
3,2,0,201,1-2-2018,8,1
4,2,0,201,1-2-2019,9,1
5,2,1,202,1-2-2020,0,1
0,2,0,202,1-2-2021,1,1
1,2,0,202,1-2-2022,2,1
2,2,0,202,1-2-2023,3,1
3,2,1,202,1-2-2024,4,1
5,2,0,202,1-2-2025,5,1
6,2,0,202,1-2-2026,6,1
0,2,0,202,1-2-2027,7,1
1,2,1,202,1-2-2028,8,1
3,2,0,202,1-2-2029,9,1
4,2,0,203,1-2-2030,0,1
5,2,0,203,1-2-2031,1,1
6,2,1,203,1-2-2032,2,1
1,2,0,203,1-2-2033,3,1
2,2,0,203,1-2-2034,4,1
3,2,0,203,1-2-2035,5,1
4,2,1,203,1-2-2036,6,1
6,2,0,203,1-2-2037,7,1
0,2,0,203,1-2-2038,8,1
1,2,0,203,1-2-2039,9,1
2,2,1,204,1-2-2040,0,1
4,2,0,204,1-2-2041,1,1
5,2,0,204,1-2-2042,2,1
6,2,0,204,1-2-2043,3,1
0,2,1,204,1-2-2044,4,1
2,2,0,204,1-2-2045,5,1
3,2,0,204,1-2-2046,6,1
4,2,0,204,1-2-2047,7,1
5,2,1,204,1-2-2048,8,1
0,2,0,204,1-2-2049,9,1
1,2,0,205,1-2-2050,0,1
2,2,0,205,1-2-2051,1,1
3,2,1,205,1-2-2052,2,1
5,2,0,205,1-2-2053,3,1
6,2,0,205,1-2-2054,4,1
0,2,0,205,1-2-2055,5,1
1,2,1,205,1-2-2056,6,1
3,2,0,205,1-2-2057,7,1
4,2,0,205,1-2-2058,8,1
5,2,0,205,1-2-2059,9,1
6,2,1,206,1-2-2060,0,1
1,2,0,206,1-2-2061,1,1
2,2,0,206,1-2-2062,2,1
3,2,0,206,1-2-2063,3,1
4,2,1,206,1-2-2064,4,1
6,2,0,206,1-2-2065,5,1
0,2,0,206,1-2-2066,6,1
1,2,0,206,1-2-2067,7,1
2,2,1,206,1-2-2068,8,1
4,2,0,206,1-2-2069,9,1
5,2,0,207,1-2-2070,0,1
6,2,0,207,1-2-2071,1,1
0,2,1,207,1-2-2072,2,1
2,2,0,207,1-2-2073,3,1
3,2,0,207,1-2-2074,4,1
4,2,0,207,1-2-2075,5,1
5,2,1,207,1-2-2076,6,1
0,2,0,207,1-2-2077,7,1
1,2,0,207,1-2-2078,8,1
2,2,0,207,1-2-2079,9,1
3,2,1,208,1-2-2080,0,1
5,2,0,208,1-2-2081,1,1
6,2,0,208,1-2-2082,2,1
0,2,0,208,1-2-2083,3,1
1,2,1,208,1-2-2084,4,1
3,2,0,208,1-2-2085,5,1
4,2,0,208,1-2-2086,6,1
5,2,0,208,1-2-2087,7,1
6,2,1,208,1-2-2088,8,1
1,2,0,208,1-2-2089,9,1
2,2,0,209,1-2-2090,0,1
3,2,0,209,1-2-2091,1,1
4,2,1,209,1-2-2092,2,1
6,2,0,209,1-2-2093,3,1
0,2,0,209,1-2-2094,4,1
1,2,0,209,1-2-2095,5,1
2,2,1,209,1-2-2096,6,1
4,2,0,209,1-2-2097,7,1
5,2,0,209,1-2-2098,8,1
6,2,0,209,1-2-2099,9,1
0,2,0,210,1-2-2100,0,1
1,2,0,210,1-2-2101,1,1
2,2,0,210,1-2-2102,2,1
3,2,0,210,1-2-2103,3,1
4,2,1,210,1-2-2104,4,1
6,2,0,210,1-2-2105,5,1
0,2,0,210,1-2-2106,6,1
1,2,0,210,1-2-2107,7,1
2,2,1,210,1-2-2108,8,1
4,2,0,210,1-2-2109,9,1
5,2,0,211,1-2-2110,0,1
6,2,0,211,1-2-2111,1,1
0,2,1,211,1-2-2112,2,1
2,2,0,211,1-2-2113,3,1
3,2,0,211,1-2-2114,4,1
4,2,0,211,1-2-2115,5,1
5,2,1,211,1-2-2116,6,1
0,2,0,211,1-2-2117,7,1
1,2,0,211,1-2-2118,8,1
2,2,0,211,1-2-2119,9,1
3,2,1,212,1-2-2120,0,1
5,2,0,212,1-2-2121,1,1
6,2,0,212,1-2-2122,2,1
0,2,0,212,1-2-2123,3,1
1,2,1,212,1-2-2124,4,1
3,2,0,212,1-2-2125,5,1
4,2,0,212,1-2-2126,6,1
5,2,0,212,1-2-2127,7,1
6,2,1,212,1-2-2128,8,1
1,2,0,212,1-2-2129,9,1
2,2,0,213,1-2-2130,0,1
3,2,0,213,1-2-2131,1,1
