,weekday_name,month,century,century_year,leap_year_condition,predicted_days_group_index,correct_output
34794,3,3,3,0.8,1,9,7
49580,2,4,2,5.7,0,2,3
102258,4,4,0,0.3,0,2,7
99257,5,8,2,1.0,0,9,6
75496,2,9,1,0.8,1,8,8
74182,2,5,3,9.8,0,9,8
35152,2,4,2,6.5,0,2,7
79539,3,7,1,4.1,0,9,9
16562,5,6,1,2.1,0,9,3
59087,5,4,1,4.0,1,2,5
77922,5,3,1,2.8,1,9,9
98861,1,7,2,1.5,0,9,6
38996,3,2,0,9.9,0,0,1
134623,1,12,2,8.8,1,8,6
11410,0,5,1,8.2,0,9,9
77460,6,2,0,6.7,0,0,2
81953,1,1,1,4.9,0,9,3
57431,2,12,0,8.8,1,8,4
60501,1,7,3,5.1,0,9,5
121313,5,3,2,1.1,0,9,4
86654,4,1,0,3.8,0,9,4
44356,5,3,2,4.6,0,9,9
63307,5,2,3,5.0,0,0,6
103751,2,7,2,9.3,0,9,7
41713,5,9,0,0.9,0,9,8
19810,6,2,1,6.1,0,0,4
91622,3,1,1,9.4,0,9,5
86049,6,11,2,3.5,0,8,3
9989,3,1,3,6.5,0,9,9
18919,2,12,0,7.2,1,8,3
17795,1,9,1,5.1,0,9,3
118239,6,7,3,4.5,0,9,3
122775,0,7,0,6.9,0,9,4
2240,4,6,2,3.5,0,9,7
49052,1,3,1,3.0,0,9,3
133141,3,9,0,0.9,0,9,6
60943,0,8,3,9.2,1,9,5
44854,2,4,3,4.3,0,2,2
113235,4,7,1,5.3,0,9,9
142888,0,11,0,3.5,0,8,8
59806,5,6,0,5.7,0,9,5
105880,1,1,0,1.6,1,9,8
54717,1,5,1,8.1,0,9,4
33615,6,12,3,3.2,1,8,6
5860,4,3,2,4.6,0,9,8
84394,2,7,1,8.4,1,9,3
102784,1,5,1,2.8,1,9,7
50200,4,6,0,7.5,0,9,3
9850,5,1,2,2.6,0,9,9
89759,6,8,3,3.6,1,9,4
107086,4,4,0,1.9,0,2,8
59505,0,5,1,5.7,0,9,5
123762,5,9,2,5.4,0,9,4
5793,4,3,1,7.9,0,9,8
143340,3,12,0,8.6,0,8,8
70191,3,8,0,1.6,1,9,7
92001,6,2,1,7.2,1,0,5
46422,2,8,3,0.7,0,9,9
11651,0,6,0,2.2,0,9,2
33218,2,11,3,3.6,1,8,6
39620,0,3,3,2.2,0,9,8
107301,6,4,2,3.4,0,2,8
123745,5,9,2,3.7,0,9,4
129830,1,12,3,0.7,0,8,5
29591,0,2,3,1.8,0,0,6
102418,0,4,1,6.3,0,2,7
118781,4,9,0,8.5,0,9,3
127588,2,7,0,7.0,0,9,5
36075,3,6,3,8.6,0,9,7
136477,0,6,0,4.0,1,9,7
61216,5,9,2,6.4,1,8,5
66287,5,10,1,2.2,0,8,6
84404,0,7,1,9.4,0,9,3
39680,5,3,3,8.2,0,9,8
114040,0,9,1,5.6,1,8,2
100496,2,11,2,4.6,0,8,6
7750,6,8,1,3.1,0,9,8
100928,1,12,2,7.7,0,8,6
71027,1,10,0,5.0,0,8,7
19051,5,12,2,0.4,1,8,3
106066,2,1,2,0.2,0,9,8
37920,6,11,2,2.6,0,8,7
129734,1,12,2,1.1,0,8,5
74461,1,6,2,7.6,1,9,8
41826,5,9,1,2.2,0,9,8
137274,5,8,0,3.5,0,9,7
37685,0,10,3,9.2,1,8,7
88303,5,5,0,8.3,0,9,4
112390,1,5,1,1.0,0,9,9
42113,6,10,0,0.8,1,8,8
24228,5,1,1,6.8,1,9,5
2852,4,8,0,4.5,0,9,7
46023,2,7,3,0.9,0,9,9
41098,1,7,1,9.6,1,9,8
101537,4,2,0,8.4,1,0,7
744,4,2,3,4.3,0,0,0
10426,0,3,0,0.0,0,9,9
15006,1,2,1,6.9,0,0,3
31250,0,6,3,7.3,0,9,6
33612,2,12,3,2.9,0,8,6
27363,4,9,0,9.5,0,9,5
95186,3,10,1,4.9,0,8,5
109988,0,11,1,1.4,0,8,8
99744,4,9,2,9.6,1,9,6
33291,2,12,0,0.8,1,8,6
71620,5,11,2,4.2,0,8,7
76926,4,12,3,3.5,0,8,8
105374,1,11,3,1.2,1,8,7
109740,6,10,2,6.7,0,8,8
93312,0,5,2,8.0,1,9,5
73668,0,4,2,8.5,0,2,8
143679,5,1,0,2.4,1,9,9
93874,0,7,0,4.0,1,9,5
65182,1,7,2,2.0,1,9,6
127943,4,8,0,2.4,1,9,5
46384,5,8,2,6.9,0,9,9
44311,5,3,2,0.1,0,9,9
137071,4,7,2,3.3,0,9,7
35473,2,5,1,8.5,0,9,7
8486,0,10,0,6.5,0,8,8
35317,4,5,0,2.9,0,9,7
139275,6,1,0,3.1,0,9,8
3472,0,9,2,6.4,1,8,7
3282,1,9,0,7.4,0,9,7
142048,3,8,3,9.8,0,9,8
38933,1,2,0,3.6,1,0,1
43467,5,1,1,5.9,0,9,9
28765,0,12,2,9.4,0,8,5
4177,2,11,1,6.7,0,8,7
2431,4,7,0,2.5,0,9,7
139168,5,12,3,2.5,0,8,7
49514,3,4,1,9.1,0,2,3
103588,1,7,1,3.0,0,9,7
59801,6,6,0,5.2,1,9,5
43462,6,1,1,5.4,0,9,9
76702,5,12,1,1.1,0,8,8
116949,3,4,2,5.8,0,2,3
40651,4,6,1,5.0,0,9,8
9238,5,12,0,1.5,0,8,8
142155,4,9,1,0.4,1,8,8
71338,3,10,3,6.1,0,8,7
130647,5,2,3,2.2,0,0,6
117809,3,6,3,1.6,1,9,3
100349,1,11,0,9.9,0,8,6
3399,6,9,1,9.1,0,9,7
73358,5,3,3,7.6,1,9,8
74340,3,6,1,5.5,0,9,8
9557,3,12,3,3.4,0,8,8
69509,0,6,1,3.6,1,9,7
114244,2,9,3,6.0,1,8,2
59873,4,6,1,2.4,1,9,5
110347,0,12,0,7.2,1,8,8
126159,0,3,2,4.5,0,9,5
62192,2,12,0,3.7,0,8,5
65543,3,8,1,8.0,1,9,6
133791,0,10,2,5.8,0,8,6
44413,5,3,3,0.3,0,9,9
63244,4,2,2,8.7,0,0,6
61768,6,11,0,1.4,0,8,5
96823,6,2,1,8.2,0,0,6
98695,5,7,0,4.9,0,9,6
22890,5,10,0,3.3,0,8,4
56725,4,10,1,8.4,1,8,4
24256,5,1,1,9.6,1,9,5
42636,6,11,1,3.0,0,8,8
119112,2,10,0,1.5,0,8,3
132412,4,7,0,8.2,0,9,6
29920,2,3,2,4.6,0,9,6
5516,4,2,3,0.3,0,0,1
117254,4,5,1,6.2,0,9,3
121740,6,4,2,3.7,0,2,4
101984,5,3,1,3.0,0,9,7
133217,0,9,0,8.5,0,9,6
91981,2,2,1,5.2,1,0,5
107555,0,5,0,8.7,0,9,8
105492,1,12,0,2.9,0,8,7
126283,0,3,3,6.9,0,9,5
121185,0,3,0,8.3,0,9,4
138145,5,10,1,0.4,1,8,7
88894,0,6,2,7.3,0,9,4
106169,4,1,3,0.5,0,9,8
50557,0,7,0,3.1,0,9,3
34671,4,3,1,8.5,0,9,7
29192,6,1,3,2.0,1,9,6
11656,6,6,0,2.7,0,9,2
137089,5,7,2,5.1,0,9,7
93616,0,6,1,8.3,0,9,5
57551,4,12,2,0.8,1,8,4
127386,3,6,2,6.9,0,9,5
135576,3,3,3,4.2,0,9,7
49306,3,3,3,8.4,1,9,3
142004,4,8,3,5.4,0,9,8
116911,5,4,2,2.0,1,2,3
30476,2,5,0,0.0,0,9,6
139824,4,3,1,7.9,0,9,8
135877,1,4,2,4.2,0,2,7
139161,3,12,3,1.8,0,8,7
26628,4,7,1,6.2,0,9,5
130457,6,2,1,3.2,1,0,6
67284,1,12,3,1.7,0,8,6
100546,2,11,2,9.6,1,8,6
76722,2,12,1,3.1,0,8,8
39872,0,4,1,7.3,0,2,8
23779,6,12,1,2.0,1,8,4
27169,6,8,3,0.2,0,9,5
54374,1,4,2,3.9,0,2,4
54694,0,5,1,5.8,0,9,4
48556,2,2,0,3.5,0,0,3
141655,4,8,0,0.5,0,9,8
119445,4,10,3,4.8,1,8,3
14572,5,1,1,3.6,1,9,3
28345,2,11,2,7.5,0,8,5
13806,4,11,1,7.2,1,8,2
87293,2,2,2,7.6,1,0,4
35787,2,6,0,9.8,0,9,7
71626,6,11,2,4.8,1,8,7
46809,3,9,2,9.3,0,9,2
99949,6,10,1,0.0,0,8,6
46191,3,8,0,7.6,1,9,9
86178,6,11,3,6.4,1,8,3
142352,4,9,3,0.1,0,9,8
24615,5,2,1,5.4,0,0,5
42534,6,11,0,2.8,1,8,8
134940,3,1,2,0.4,1,9,7
102824,2,5,1,6.8,1,9,7
124739,4,12,0,2.8,1,8,4
43887,4,2,1,7.8,0,0,2
1474,2,4,2,7.1,0,2,7
116349,4,3,0,5.9,0,9,3
58728,5,3,1,8.2,0,9,5
9903,1,1,2,7.9,0,9,9
74839,2,7,2,5.3,0,9,8
54382,4,4,2,4.7,0,2,4
127296,2,6,1,7.9,0,9,5
136318,4,5,2,8.2,0,9,7
30372,6,4,2,9.7,0,2,6
41829,2,9,1,2.5,0,9,8
97692,2,4,2,4.9,0,2,6
2149,3,6,1,4.4,1,9,7
45638,6,6,3,2.5,0,9,2
31495,4,7,2,1.7,0,9,6
41070,1,7,1,6.8,1,9,8
112466,5,5,1,8.6,0,9,9
63051,2,2,0,9.4,0,0,6
79035,6,6,0,3.8,0,9,2
19993,2,2,3,4.4,1,0,4
35369,6,5,0,8.1,0,9,7
118977,3,9,2,8.1,0,9,3
131654,4,5,1,2.6,0,9,6
43544,3,1,2,3.6,1,9,9
38786,0,1,2,9.0,0,9,8
87021,6,2,0,0.4,1,0,4
106141,5,1,2,7.7,0,9,8
32616,0,10,1,3.5,0,8,6
31965,2,8,2,8.6,0,9,6
55689,0,7,3,5.1,0,9,4
14589,6,1,1,5.3,0,9,3
58077,1,1,3,3.3,0,9,5
40830,3,6,3,2.9,0,9,8
116634,2,3,3,4.4,1,9,3
60530,3,7,3,8.0,1,9,5
102930,1,5,2,7.4,0,9,7
140719,0,5,2,7.2,1,9,8
142114,2,9,0,6.3,0,9,8
68353,1,3,1,8.3,0,9,7
93770,3,6,3,3.7,0,9,5
80757,2,10,1,5.6,1,8,9
10994,0,4,1,6.7,0,2,2
2302,5,6,2,9.7,0,9,7
124049,5,10,1,4.0,1,8,4
55808,3,8,0,6.9,0,9,4
140933,1,6,0,8.5,0,9,8
123741,0,9,2,3.3,0,9,4
22273,6,8,2,1.8,0,9,4
111347,0,2,2,7.0,0,0,2
145759,1,10,0,9.9,0,8,9
16267,1,5,2,2.7,0,9,3
11642,3,6,0,1.3,0,9,2
77578,6,2,1,8.5,0,0,2
129475,1,11,3,5.3,0,8,5
76659,2,12,0,6.8,1,8,8
143388,6,12,1,3.4,0,8,8
116523,4,3,2,3.3,0,9,3
112142,1,4,2,6.3,0,2,2
98527,6,6,2,8.2,0,9,6
41046,6,7,1,4.4,1,9,8
89236,5,7,2,1.4,0,9,4
16479,0,6,0,3.8,0,9,3
3575,1,9,3,6.7,0,9,7
135195,2,2,2,4.0,1,0,7
137763,5,9,1,2.3,0,9,7
95451,5,11,0,1.3,0,8,5
7631,6,8,0,1.2,1,9,8
64198,0,5,0,3.8,0,9,6
50766,2,7,2,4.0,1,9,3
132825,1,8,0,9.4,0,9,6
104937,3,10,2,7.6,1,8,7
97278,4,3,2,3.6,1,9,6
86200,5,11,3,8.6,0,8,3
50273,4,6,1,4.8,1,9,3
52188,3,11,0,5.8,0,8,3
9720,4,1,0,9.6,1,9,9
134285,6,11,3,5.1,0,8,6
142527,5,10,0,7.5,0,8,8
31860,4,8,1,8.1,0,9,6
3924,1,10,3,1.5,0,8,7
103695,2,7,2,3.7,0,9,7
146185,2,12,1,2.4,1,8,9
110147,3,11,2,7.3,0,8,8
125469,3,1,3,5.7,0,9,5
25322,2,4,0,5.9,0,2,5
16324,3,5,2,8.4,1,9,3
111126,5,2,0,4.9,0,0,2
74744,2,7,1,5.8,0,9,8
94156,0,7,3,2.2,0,9,5
107167,0,4,1,0.0,0,2,8
128723,2,10,0,0.2,0,8,5
77160,2,1,1,6.8,1,9,9
123409,5,8,3,0.2,0,9,4
40624,5,6,1,2.3,0,9,8
82208,4,2,0,0.3,0,0,3
107357,6,4,2,9.0,0,2,8
61573,1,10,2,2.0,1,8,5
105781,3,12,3,1.8,0,8,7
38220,1,12,1,2.5,0,8,7
142253,0,9,2,0.2,0,9,8
57166,1,11,2,2.4,1,8,4
81288,6,11,2,8.6,0,8,2
3718,4,10,1,0.9,0,8,7
133885,5,10,3,5.2,1,8,6
113744,2,8,2,6.1,0,9,9
141634,5,7,3,8.5,0,9,8
68646,3,4,0,7.5,0,2,7
16837,5,6,3,9.6,1,9,3
97315,1,3,2,7.3,0,9,6
104887,3,10,2,2.6,0,8,7
140445,1,4,3,9.9,0,2,8
96804,3,2,1,6.3,0,0,6
51945,1,10,2,1.6,1,8,3
124455,0,11,1,4.5,0,8,4
27748,0,10,0,7.9,0,8,5
113092,1,7,0,1.0,0,9,9
47572,1,11,2,5.4,0,8,2
48916,2,2,3,9.5,0,0,3
16544,3,6,1,0.3,0,9,3
48900,3,2,3,7.9,0,0,3
51109,2,8,1,8.2,0,9,3
108552,3,7,2,8.2,0,9,8
110279,6,12,0,0.4,1,8,8
82732,3,3,1,2.6,0,9,3
120722,0,2,0,2.1,0,0,4
117481,0,5,3,8.9,0,9,3
95014,6,9,3,7.8,0,9,5
52326,0,11,1,9.6,1,8,3
15833,0,4,1,9.4,0,2,3
108543,6,7,2,7.3,0,9,8
59788,3,6,0,3.9,0,9,5
120450,3,1,1,5.0,0,9,4
15848,5,4,2,0.9,0,2,3
124044,5,10,1,3.5,0,8,4
50500,6,6,3,7.5,0,9,3
65397,3,8,0,3.4,0,9,6
52252,5,11,1,2.2,0,8,3
82523,4,2,3,1.8,0,0,3
53654,2,2,3,2.1,0,0,4
42995,6,12,0,8.8,1,8,8
104430,1,9,1,7.0,0,9,7
108380,5,7,1,1.0,0,9,8
127633,1,7,1,1.5,0,9,5
72127,6,12,3,4.8,1,8,7
123580,3,9,0,7.2,1,8,4
77078,6,1,0,8.6,0,9,9
85476,6,10,0,6.3,0,8,3
53181,1,1,2,4.9,0,9,4
107244,5,4,1,7.7,0,2,8
139363,3,1,1,1.9,0,9,8
24426,0,1,3,6.6,0,9,5
37887,0,11,1,9.3,0,8,7
28325,5,11,2,5.5,0,8,5
124556,0,11,2,4.6,0,8,4
22363,6,8,3,0.8,1,9,4
37853,6,11,1,5.9,0,8,7
131419,0,4,2,9.2,1,2,6
11605,5,5,3,7.7,0,9,9
46055,0,7,3,4.1,0,9,9
73306,3,3,3,2.4,1,9,8
12748,1,8,3,1.7,0,9,9
145187,6,7,3,2.9,0,9,9
103372,5,6,3,1.5,0,9,7
34830,6,3,3,4.4,1,9,7
23431,0,11,1,7.3,0,8,4
12192,1,7,1,6.2,0,9,9
64911,6,6,3,5.0,0,9,6
72130,2,12,3,5.1,0,8,7
124303,6,10,3,9.4,0,8,4
84945,2,8,3,3.4,0,9,3
71042,6,10,0,6.5,0,8,7
17895,0,9,2,5.1,0,9,3
16066,3,5,0,2.6,0,9,3
65731,6,8,3,6.8,1,9,6
2616,3,7,2,1.0,0,9,7
118941,0,9,2,4.5,0,9,3
31564,6,7,2,8.6,0,9,6
6868,0,6,0,5.1,0,9,8
110044,0,11,1,7.0,0,8,8
111937,5,4,0,5.8,0,2,2
51332,1,9,0,0.4,1,8,3
68187,5,3,0,1.7,0,9,7
27635,6,9,3,6.7,0,9,5
119551,4,11,0,5.3,0,8,3
19296,2,1,0,4.8,1,9,4
2888,0,8,0,8.1,0,9,7
81578,2,12,1,7.5,0,8,9
80388,5,9,1,8.8,1,8,2
130662,3,2,3,3.7,0,0,6
31398,2,7,1,2.0,1,9,6
106182,6,1,3,1.8,0,9,8
84975,5,8,3,6.4,1,9,3
85961,1,11,1,4.7,0,8,3
44937,1,5,0,2.5,0,9,9
24650,0,2,1,8.9,0,0,5
140510,5,5,0,6.3,0,9,8
139459,4,1,2,1.5,0,9,8
136223,4,5,1,8.7,0,9,7
91927,6,2,0,9.8,0,0,5
146191,2,12,1,3.0,0,8,9
76190,6,11,0,0.0,0,8,8
119117,2,10,0,2.0,1,8,3
62608,2,1,0,5.2,1,9,6
71457,5,11,0,7.9,0,8,7
109714,2,10,2,4.1,0,8,8
101153,1,1,1,0.1,0,9,7
42100,4,9,3,9.6,1,9,8
36242,1,7,1,5.2,1,9,7
69069,5,5,0,9.7,0,9,7
5536,1,2,3,2.3,0,0,1
16448,3,6,0,0.7,0,9,3
65983,5,9,2,1.9,0,9,6
115593,2,1,1,0.5,0,9,3
89246,4,7,2,2.4,1,9,4
1673,5,5,0,6.9,0,9,7
19248,6,1,0,0.0,0,9,4
106833,3,3,1,6.7,0,9,8
58516,2,2,3,7.1,0,0,5
145376,4,8,1,1.7,0,9,9
60828,4,8,2,7.7,0,9,5
137860,1,9,2,2.0,1,8,7
30097,6,4,0,2.2,0,2,6
98918,3,7,2,7.2,1,9,6
42999,4,12,0,9.2,1,8,8
22902,6,10,0,4.5,0,8,4
73652,1,4,2,6.9,0,2,8
127743,6,7,2,2.5,0,9,5
108200,5,6,3,3.1,0,9,8
59850,3,6,1,0.1,0,9,5
88243,0,5,0,2.3,0,9,4
84943,0,8,3,3.2,1,9,3
86910,1,1,2,9.4,0,9,4
24761,5,2,3,0.0,0,0,5
19064,0,12,2,1.7,0,8,3
76856,2,12,2,6.5,0,8,8
142959,4,11,1,0.6,0,8,8
17967,5,9,3,2.3,0,9,3
141973,0,8,3,2.3,0,9,8
3187,1,8,3,8.0,1,9,7
132851,5,8,1,2.0,1,9,6
102833,6,5,1,7.7,0,9,7
36744,4,8,2,5.3,0,9,7
17325,4,8,0,8.2,0,9,3
118849,4,9,1,5.3,0,9,3
117306,6,5,2,1.4,0,9,3
36700,5,8,2,0.9,0,9,7
49751,4,5,0,2.7,0,9,3
43618,4,1,3,1.0,0,9,9
119390,6,10,2,9.3,0,8,3
113304,6,7,2,2.2,0,9,9
71762,0,11,3,8.4,1,8,7
144569,4,5,1,1.2,1,9,9
126777,0,5,0,6.1,0,9,5
55449,2,7,1,1.1,0,9,4
9192,4,11,3,7.0,0,8,8
118521,1,8,2,2.6,0,9,3
98855,1,7,2,0.9,0,9,6
76275,0,11,0,8.5,0,8,8
103643,0,7,1,8.5,0,9,7
139315,0,1,0,7.1,0,9,8
37645,6,10,3,5.2,1,8,7
109323,5,9,2,5.1,0,9,8
32144,2,9,0,6.4,1,8,6
90005,5,9,1,8.1,0,9,4
50694,3,7,1,6.8,1,9,3
140318,5,4,2,7.2,1,2,8
34264,3,2,1,7.9,0,0,0
93111,1,5,0,7.9,0,9,5
1707,4,5,1,0.3,0,9,7
38642,2,1,1,4.6,0,9,8
113503,3,8,0,2.0,1,9,9
35251,6,4,3,6.4,1,2,7
135337,6,3,1,0.3,0,9,7
140221,2,4,1,7.5,0,2,8
61767,5,11,0,1.3,0,8,5
118443,2,8,1,4.8,1,9,3
136460,6,6,0,2.3,0,9,7
104648,0,9,3,8.8,1,8,7
100089,6,10,2,4.0,1,8,6
140982,5,6,1,3.4,0,9,8
27497,3,9,2,2.9,0,9,5
37201,6,9,3,0.9,0,9,7
29481,3,2,2,0.8,1,0,6
7283,6,7,0,6.5,0,9,8
134227,5,11,2,9.3,0,8,6
95868,6,12,0,2.9,0,8,5
134662,6,12,3,2.7,0,8,6
74071,4,5,2,8.7,0,9,8
41025,0,7,1,2.3,0,9,8
77031,3,1,0,3.9,0,9,9
108905,2,8,2,3.4,0,9,8
75891,3,10,1,0.2,0,8,8
127563,6,7,0,4.5,0,9,5
100683,4,12,0,3.2,1,8,6
32594,1,10,1,1.3,0,8,6
115656,3,1,1,6.8,1,9,3
137548,3,8,3,0.9,0,9,7
22231,3,8,1,7.6,1,9,4
19602,5,1,3,5.4,0,9,4
142786,5,10,3,3.4,0,8,8
19056,4,12,2,0.9,0,8,3
65885,2,9,1,2.1,0,9,6
47259,2,10,3,4.2,0,8,9
135014,5,1,2,7.8,0,9,7
48637,4,2,1,1.6,1,0,3
57060,1,11,1,1.8,0,8,4
132313,0,6,3,8.4,1,9,6
22600,1,9,1,4.4,1,8,4
140175,1,4,1,2.9,0,2,8
95473,4,11,0,3.5,0,8,5
54798,4,5,2,6.2,0,9,4
118463,6,8,1,6.8,1,9,3
67271,6,12,3,0.4,1,8,6
79267,1,6,2,7.0,0,9,2
129689,1,12,1,6.6,0,8,5
81046,6,11,0,4.4,1,8,2
138549,4,11,1,0.7,0,8,7
85939,2,11,1,2.5,0,8,3
63863,3,4,1,0.4,1,2,6
345,4,1,3,4.5,0,9,7
43755,1,2,0,4.6,0,0,2
32790,0,10,3,0.9,0,8,6
92435,6,3,2,0.5,0,9,5
119371,3,10,2,7.4,0,8,3
3684,4,10,0,7.5,0,8,7
72900,3,2,3,1.9,0,0,1
41698,6,8,3,9.5,0,9,8
60930,4,8,3,7.9,0,9,5
87122,6,2,1,0.5,0,0,4
29855,5,3,1,8.1,0,9,6
37028,1,9,1,3.6,1,8,7
7141,4,6,3,2.4,1,9,8
63486,2,3,1,2.8,1,9,6
96618,2,1,3,7.8,0,9,6
21810,3,7,1,5.6,1,9,4
30384,6,4,3,0.9,0,2,6
17988,4,9,3,4.4,1,8,3
82307,1,2,1,0.2,0,0,3
59453,5,5,1,0.5,0,9,5
55917,5,8,1,7.8,0,9,4
127369,3,6,2,5.2,1,9,5
44375,1,3,2,6.5,0,9,9
132196,1,6,2,6.7,0,9,6
36682,3,8,1,9.1,0,9,7
51082,3,8,1,5.5,0,9,3
100768,4,12,1,1.7,0,8,6
43349,6,1,0,4.1,0,9,9
136084,0,5,0,4.8,1,9,7
80722,0,10,1,2.1,0,8,9
112744,2,6,0,6.3,0,9,2
29996,5,3,3,2.2,0,9,6
63491,1,3,1,3.3,0,9,6
110661,5,12,3,8.6,0,8,8
14159,2,12,1,2.4,1,8,9
97383,1,3,3,4.1,0,9,6
2325,5,6,3,2.0,1,9,7
145669,1,10,0,0.9,0,8,9
29223,3,1,3,5.1,0,9,6
75913,3,10,1,2.4,1,8,8
1869,4,5,2,6.5,0,9,7
91868,2,2,0,3.9,0,0,5
82780,0,3,1,7.4,0,9,3
37828,3,11,1,3.4,0,8,7
51928,0,10,1,9.9,0,8,3
60193,3,7,0,4.3,0,9,5
114420,3,10,1,3.5,0,8,9
55313,2,6,3,7.6,1,9,4
129408,2,11,2,8.6,0,8,5
27632,3,9,3,6.4,1,9,5
140016,5,3,3,7.1,0,9,8
99628,6,9,1,8.0,1,8,6
107261,5,4,1,9.4,0,2,8
54900,5,5,3,6.4,1,9,4
124144,4,10,2,3.5,0,8,4
87020,5,2,0,0.3,0,0,4
29278,3,2,0,0.5,0,0,6
68677,6,4,1,0.6,0,2,7
4816,0,1,0,0.4,1,9,8
13037,5,9,2,0.5,0,9,2
56024,6,8,2,8.5,0,9,4
13322,3,10,0,8.9,0,8,9
118250,6,7,3,5.6,1,9,3
77243,1,1,2,5.1,0,9,9
59889,3,6,1,4.0,1,9,5
23445,3,11,1,8.7,0,8,4
17774,3,9,1,3.0,0,9,3
142836,5,10,3,8.4,1,8,8
63218,0,2,2,6.1,0,0,6
6572,2,5,1,5.6,1,9,8
144479,4,5,0,2.2,0,9,9
4828,1,1,0,1.6,1,9,8
85241,1,9,2,2.9,0,9,3
62795,4,1,2,3.9,0,9,6
112189,3,4,3,1.0,0,2,2
75499,5,9,1,1.1,0,9,8
45000,3,5,0,8.8,1,9,9
122984,1,7,2,7.8,0,9,4
24003,5,12,3,4.4,1,8,4
2635,6,7,2,2.9,0,9,7
65774,4,9,0,1.0,0,9,6
12436,5,8,0,0.5,0,9,9
43209,5,12,3,0.2,0,8,8
139266,2,1,0,2.2,0,9,8
3922,6,10,3,1.3,0,8,7
88427,5,5,2,0.7,0,9,4
80166,0,8,3,6.7,0,9,9
65776,0,9,0,1.2,1,8,6
105691,4,12,2,2.8,1,8,7
43281,4,12,3,7.4,0,8,8
59861,3,6,1,1.2,1,9,5
1442,4,4,2,3.9,0,2,7
56758,3,10,2,1.7,0,8,4
140050,0,4,0,0.4,1,2,8
2050,6,6,0,4.5,0,9,7
142487,4,10,0,3.5,0,8,8
134866,2,1,1,3.0,0,9,7
10866,2,4,0,3.9,0,2,2
25804,0,5,1,4.0,1,9,5
102480,1,4,2,2.5,0,2,7
4648,1,12,2,3.7,0,8,7
76938,5,12,3,4.7,0,8,8
