,leap_year_condition,decade,predicted_year_digit,predicted_year
80077,0,207,1,2071
128062,0,194,1,1941
1904,0,210,1,2101
128453,0,193,1,1931
39778,0,187,5,1875
78575,1,218,2,2182
49126,1,200,8,2008
6487,0,187,5,1875
12006,0,217,9,2179
95815,0,217,9,2179
25697,0,183,5,1835
123415,1,210,2,2102
47911,1,199,8,1998
104450,0,199,1,1991
68909,0,213,9,2139
107921,1,185,8,1858
20469,0,181,5,1815
31334,1,185,8,1858
119829,0,213,9,2139
88293,0,187,5,1875
81519,1,191,8,1918
79283,0,208,1,2081
2515,0,190,5,1905
90018,0,199,1,1991
120291,1,219,2,2192
88637,1,181,8,1818
96523,0,208,1,2081
111642,1,196,8,1968
10118,0,189,5,1895
35054,0,196,1,1961
115179,1,189,8,1898
118884,1,198,8,1988
41914,0,201,1,2011
77738,0,214,9,2149
34355,0,207,1,2071
97275,0,203,1,2031
28547,1,187,8,1878
111490,1,181,8,1818
76105,1,211,2,2112
140853,0,180,5,1805
78869,0,207,1,2071
21528,0,207,1,2071
112067,1,198,8,1988
34944,0,185,5,1855
59890,0,194,1,1941
19906,0,205,1,2051
10637,0,201,1,2011
3589,0,218,9,2189
145367,1,190,8,1908
57019,0,187,5,1875
24563,0,190,5,1905
144283,0,202,1,2021
33712,1,182,8,1828
40421,0,212,9,2129
137188,0,215,9,2159
29693,0,181,5,1815
8417,0,219,9,2199
141916,0,206,1,2061
100239,0,219,9,2199
66476,0,211,9,2119
135396,0,196,1,1961
17522,0,207,1,2071
103285,1,202,8,2028
142068,0,181,5,1815
115323,1,203,8,2038
103769,0,211,9,2119
27168,0,210,1,2101
88719,0,189,5,1895
86925,0,210,1,2101
99606,0,195,1,1951
140291,0,204,1,2041
119361,1,206,8,2068
141631,0,218,9,2189
42378,0,207,1,2071
6081,0,186,5,1865
74801,0,201,1,2011
9375,1,195,8,1958
73599,1,201,8,2018
143169,1,211,2,2112
70934,0,215,9,2159
102929,0,207,1,2071
138299,0,205,1,2051
81563,1,196,8,1968
77375,0,218,9,2189
145888,1,202,8,2028
10850,0,182,5,1825
108549,0,207,1,2071
88294,0,187,5,1875
68753,0,198,1,1981
64222,0,186,5,1865
117700,0,200,1,2001
102716,1,186,8,1868
96671,0,183,5,1835
44435,0,212,9,2129
50004,1,208,2,2082
120066,0,196,1,1961
100048,0,199,1,1991
24234,0,197,1,1971
78392,0,199,1,1991
6919,0,190,5,1905
93386,0,215,9,2159
79314,0,211,9,2119
20142,1,189,8,1898
48075,1,215,2,2152
50675,0,194,1,1941
129969,0,184,5,1845
2956,0,194,1,1941
1859,0,205,1,2051
108593,0,212,9,2129
590,0,198,1,1981
14746,0,211,9,2119
48775,0,205,1,2051
35471,0,198,1,1981
86486,0,207,1,2071
42912,0,180,5,1805
83221,0,201,1,2011
119405,1,210,2,2102
138556,0,191,5,1915
65055,0,189,5,1895
120137,0,203,1,2031
43541,0,203,1,2031
132150,0,202,1,2021
27110,0,204,1,2041
15491,0,205,1,2051
15462,1,202,8,2028
29946,1,207,2,2072
87587,0,196,1,1961
31813,0,193,1,1931
44241,0,193,1,1931
90863,0,203,1,2031
16744,0,210,1,2101
121623,1,192,8,1928
111856,0,217,9,2179
85669,1,205,8,2058
49057,0,193,1,1931
4382,1,217,2,2172
47233,1,211,2,2112
105539,1,187,8,1878
45082,0,197,1,1971
31653,0,217,9,2179
105011,0,215,9,2159
48298,0,197,1,1971
134902,0,196,1,1961
69444,0,187,5,1875
658,0,205,1,2051
98030,0,198,1,1981
139809,1,196,8,1968
7362,1,194,8,1948
1032,0,203,1,2031
125692,0,197,1,1971
403,0,180,5,1805
3378,0,197,1,1971
139332,1,188,8,1888
85477,1,186,8,1868
55911,1,197,8,1978
77590,0,199,1,1991
17086,1,204,8,2048
144772,0,211,9,2119
33307,1,182,8,1828
4648,0,203,1,2031
41014,1,191,8,1918
81436,0,183,5,1835
53584,0,205,1,2051
63651,0,209,1,2091
90831,0,200,1,2001
4005,1,219,2,2192
105454,1,219,2,2192
20619,1,196,8,1968
96883,0,204,1,2041
91958,0,192,1,1921
26217,1,195,8,1958
6559,0,194,1,1941
143138,0,208,1,2081
133509,0,217,9,2179
57195,0,205,1,2051
117677,1,198,8,1988
84223,0,181,5,1815
39149,1,205,8,2058
128517,0,199,1,1991
11022,0,199,1,1991
31762,0,188,5,1885
70096,0,212,9,2129
7083,0,206,1,2061
49983,0,205,1,2051
137874,0,203,1,2031
24781,1,212,2,2122
49215,0,209,1,2091
138362,0,212,9,2129
44250,1,194,8,1948
83535,0,192,1,1921
1619,0,181,5,1815
122782,1,187,8,1878
4066,1,185,8,1858
40629,1,192,8,1928
48254,0,193,1,1931
132325,1,219,2,2192
94508,0,207,1,2071
31279,0,180,5,1805
27513,0,204,1,2041
36392,0,210,1,2101
140085,0,183,5,1835
33752,1,186,8,1868
67261,0,209,1,2091
54500,0,216,9,2169
141705,0,185,5,1855
145881,0,202,1,2021
44612,0,190,5,1905
47734,0,181,5,1815
81669,0,206,1,2061
88964,0,214,9,2149
118544,0,204,1,2041
115243,1,195,8,1958
142308,0,205,1,2051
29428,0,195,1,1951
99394,0,214,9,2149
63880,0,192,1,1921
88497,0,207,1,2071
42193,1,188,8,1888
79088,0,189,5,1895
104914,0,205,1,2051
6465,0,184,5,1845
82285,1,188,8,1888
131914,0,218,9,2189
71261,1,208,2,2082
106142,0,207,1,2071
65448,0,188,5,1885
25121,0,205,1,2051
127456,0,213,9,2139
128917,1,199,8,1998
117589,1,189,8,1898
116488,0,199,1,1991
58846,0,210,1,2101
131598,0,187,5,1875
106239,0,217,9,2179
129263,0,194,1,1941
89214,1,199,8,1998
136584,0,194,1,1941
54100,0,216,9,2169
42743,0,203,1,2031
76287,0,189,5,1895
59104,0,195,1,1951
44553,0,184,5,1845
88818,0,199,1,1991
123291,1,198,8,1988
108899,1,202,8,2028
83419,0,181,5,1815
122282,0,217,9,2179
85218,0,200,1,2001
80768,0,196,1,1961
77413,1,182,8,1828
131974,0,184,5,1845
16836,0,219,9,2199
81684,0,208,1,2081
77153,0,196,1,1961
92066,0,203,1,2031
100362,1,191,8,1918
15028,0,199,1,1991
124588,0,207,1,2071
68134,0,216,9,2169
101842,0,218,9,2189
73021,0,183,5,1835
79335,0,213,9,2139
21522,0,206,1,2061
60214,1,186,8,1868
62590,0,183,5,1835
89623,1,200,8,2008
781,1,218,2,2182
28377,0,210,1,2101
124109,1,200,8,2008
45101,0,198,1,1981
38347,1,205,8,2058
103587,0,192,1,1921
115105,0,181,5,1815
64055,1,209,2,2092
62169,0,181,5,1815
28458,1,218,2,2182
82503,0,209,1,2091
63626,1,206,8,2068
9510,0,208,1,2081
126259,0,214,9,2149
87514,1,189,8,1898
61911,0,195,1,1951
135847,1,201,8,2018
75119,1,193,8,1938
45214,0,210,1,2101
134377,0,184,5,1845
132446,1,191,8,1918
27425,0,195,1,1951
104416,1,195,8,1958
104197,0,213,9,2139
142115,1,186,8,1868
145940,1,208,2,2082
34007,0,212,9,2129
71796,0,181,5,1815
22080,0,182,5,1825
18611,0,196,1,1961
383,0,218,9,2189
72762,0,198,1,1981
57739,1,219,2,2192
118020,0,192,1,1921
86279,1,186,8,1868
57084,0,194,1,1941
146442,0,218,9,2189
69872,0,189,5,1895
62025,0,207,1,2071
93416,1,218,2,2182
88611,0,219,9,2199
144922,1,186,8,1868
128655,0,213,9,2139
103790,1,213,2,2132
29654,0,218,9,2189
65694,0,213,9,2139
101256,1,200,8,2008
32681,1,200,8,2008
65293,0,213,9,2139
7520,0,210,1,2101
85625,1,201,8,2018
57431,1,188,8,1888
142976,0,192,1,1921
5301,1,188,8,1888
90751,0,192,1,1921
111048,1,217,2,2172
46452,0,213,9,2139
70194,0,181,5,1815
87448,0,183,5,1835
101651,0,199,1,1991
69575,0,200,1,2001
26205,1,194,8,1948
4417,0,180,5,1805
131732,1,200,8,2008
143598,1,214,2,2142
10435,0,180,5,1805
127647,0,192,1,1921
130654,0,212,9,2129
121184,0,188,5,1885
18402,0,215,9,2159
74793,0,200,1,2001
102227,0,217,9,2179
70038,1,206,8,2068
92602,1,217,2,2172
57196,0,205,1,2051
19596,1,214,2,2142
33345,0,186,5,1865
140836,0,218,9,2189
98528,0,208,1,2081
73275,0,209,1,2091
1747,0,194,1,1941
9216,0,219,9,2199
143838,0,198,1,1981
103103,0,184,5,1845
19235,1,218,2,2182
27989,1,212,2,2122
60563,1,181,8,1818
15573,0,213,9,2139
70539,1,216,2,2162
131050,1,212,2,2122
69155,0,198,1,1981
93798,0,216,9,2169
26255,0,199,1,1991
11281,0,185,5,1855
135876,0,204,1,2041
100064,0,201,1,2011
45971,0,205,1,2051
6963,0,194,1,1941
140078,1,183,8,1838
28035,0,216,9,2169
143733,0,187,5,1875
75778,0,219,9,2199
68324,0,195,1,1951
137192,0,215,9,2159
89016,0,219,9,2199
96846,0,200,1,2001
55620,0,208,1,2081
22494,0,183,5,1835
25477,0,201,1,2011
75167,1,198,8,1988
40450,0,215,9,2159
46474,0,215,9,2159
105175,0,191,5,1915
116304,0,181,5,1815
40116,1,181,8,1818
139656,0,181,5,1815
92968,0,213,9,2139
99967,0,191,5,1915
119153,1,185,8,1858
105555,1,189,8,1898
109066,0,219,9,2199
95968,0,192,1,1921
133192,1,186,8,1868
4327,0,211,9,2119
26752,0,208,1,2081
75578,0,199,1,1991
20658,0,200,1,2001
90773,0,194,1,1941
57061,0,191,5,1915
89905,0,188,5,1885
140440,0,219,9,2199
55364,0,182,5,1825
92741,0,191,5,1915
134065,0,193,1,1931
55356,0,181,5,1815
77480,0,188,5,1885
131064,0,213,9,2139
78622,0,182,5,1825
13380,0,194,1,1941
35640,1,215,2,2152
124887,1,197,8,1978
58782,1,203,8,2038
119262,0,196,1,1961
52010,0,208,1,2081
51493,0,196,1,1961
123131,1,182,8,1828
42762,1,205,8,2058
115406,0,211,9,2119
33253,0,217,9,2179
136849,0,181,5,1815
62679,0,192,1,1921
81614,0,201,1,2011
77915,0,192,1,1921
139454,0,201,1,2011
143955,0,210,1,2101
86759,0,194,1,1941
104387,0,192,1,1921
128518,0,199,1,1991
114236,1,215,2,2152
3203,1,219,2,2192
16764,0,212,9,2129
136121,0,188,5,1885
130140,1,201,8,2018
139754,0,190,5,1905
38002,1,210,2,2102
13253,1,182,8,1828
24866,1,180,8,1808
61567,0,201,1,2011
17833,0,198,1,1981
11975,0,214,9,2149
105141,0,187,5,1875
86326,0,191,5,1915
66532,0,216,9,2169
43459,0,195,1,1951
97065,0,182,5,1825
124752,0,184,5,1845
23898,0,203,1,2031
113272,0,199,1,1991
137021,0,198,1,1981
121129,0,182,5,1825
102491,1,203,8,2038
39657,0,215,9,2159
44118,1,180,8,1808
69532,0,195,1,1951
46911,0,219,9,2199
136994,1,195,8,1958
78508,0,211,9,2119
41175,0,207,1,2071
50354,0,202,1,2021
50531,0,180,5,1805
35183,1,209,2,2092
74787,0,200,1,2001
42542,1,183,8,1838
41280,0,217,9,2179
80148,0,214,9,2149
135257,0,182,5,1825
97144,0,190,5,1905
33365,0,188,5,1885
30978,0,190,5,1905
91332,0,210,1,2101
45181,0,206,1,2061
142159,1,190,8,1908
24327,0,206,1,2061
45572,0,205,1,2051
30321,0,204,1,2041
43233,0,212,9,2129
103302,0,204,1,2041
88830,0,200,1,2001
20427,0,217,9,2179
26812,0,214,9,2149
134521,0,198,1,1981
56208,1,186,8,1868
11269,0,184,5,1845
51987,0,205,1,2051
24959,0,189,5,1895
36855,1,216,2,2162
32193,0,191,5,1915
5533,1,212,2,2122
136037,0,180,5,1805
64209,0,184,5,1845
85026,0,181,5,1815
41046,1,194,8,1948
88555,0,213,9,2139
95369,1,213,2,2132
79712,0,211,9,2119
146170,0,190,5,1905
87447,0,182,5,1825
92208,0,217,9,2179
81388,0,218,9,2189
123186,0,187,5,1875
82639,0,183,5,1835
14388,0,215,9,2159
30271,1,199,8,1998
744,0,214,9,2149
34278,0,199,1,1991
133042,0,211,9,2119
49673,0,215,9,2159
78250,0,185,5,1855
20180,0,193,1,1931
64520,1,216,2,2162
42628,0,192,1,1921
17589,0,214,9,2149
21435,0,198,1,1981
55864,0,192,1,1921
27007,1,194,8,1948
8983,0,196,1,1961
71331,0,215,9,2159
59955,0,200,1,2001
133989,0,185,5,1855
45291,0,217,9,2179
137020,0,198,1,1981
141104,1,205,8,2058
109623,0,195,1,1951
78182,1,218,2,2182
99979,0,193,1,1931
44576,0,186,5,1865
65904,1,194,8,1948
87941,0,192,1,1921
132501,0,197,1,1971
118159,0,206,1,2061
127441,1,212,2,2122
84019,0,201,1,2011
78425,0,203,1,2031
145696,1,183,8,1838
45909,0,199,1,1991
76030,0,204,1,2041
26482,1,181,8,1818
62134,1,218,2,2182
74252,0,186,5,1865
29187,0,211,9,2119
143569,0,211,9,2119
33258,1,217,2,2172
59406,0,185,5,1855
99805,0,215,9,2159
84490,1,208,2,2082
124572,0,206,1,2061
96834,0,199,1,1991
48621,0,190,5,1905
79725,0,212,9,2129
109691,0,201,1,2011
113815,1,213,2,2132
88283,0,186,5,1865
89194,1,197,8,1978
107736,1,206,8,2068
111822,1,214,2,2142
101594,0,194,1,1941
2472,0,186,5,1865
91482,0,185,5,1855
33408,0,192,1,1921
15878,0,203,1,2031
35852,0,196,1,1961
119790,1,209,2,2092
16232,1,199,8,1998
104495,0,203,1,2031
35058,0,197,1,1971
137470,0,203,1,2031
12416,0,218,9,2189
128593,0,207,1,2071
140678,0,203,1,2031
29769,0,189,5,1895
6948,0,193,1,1931
141407,0,195,1,1951
226,0,202,1,2021
13878,1,204,8,2048
77491,0,189,5,1895
112201,0,212,9,2129
49312,0,219,9,2199
134511,1,197,8,1978
101968,0,191,5,1915
58953,0,180,5,1805
91867,0,183,5,1835
22942,0,188,5,1885
28177,0,190,5,1905
58467,0,212,9,2129
86109,0,209,1,2091
98574,0,212,9,2129
123183,1,187,8,1878
134920,1,198,8,1988
145769,0,190,5,1905
32182,0,190,5,1905
45061,0,194,1,1941
108017,1,194,8,1948
133813,1,208,2,2082
132124,0,199,1,1991
80559,0,215,9,2159
39202,0,210,1,2101
60637,0,188,5,1885
30819,0,214,9,2149
65041,0,187,5,1875
105365,0,210,1,2101
104526,0,206,1,2061
130645,1,212,2,2122
503,0,190,5,1905
88634,0,181,5,1815
139770,0,192,1,1921
121726,0,202,1,2021
91872,0,184,5,1845
117717,1,202,8,2028
106967,0,210,1,2101
82513,1,210,2,2102
96349,0,190,5,1905
135712,0,187,5,1875
42817,0,211,9,2119
22776,1,212,2,2122
46076,0,216,9,2169
57913,0,196,1,1961
89923,0,189,5,1895
93212,1,198,8,1988
82077,0,207,1,2071
145857,0,199,1,1991
10036,0,181,5,1815
78794,0,199,1,1991
39648,0,215,9,2159
112134,0,205,1,2051
114788,0,190,5,1905
83328,0,212,9,2129
9499,1,207,2,2072
36258,1,196,8,1968
2039,0,183,5,1835
56438,0,209,1,2091
48565,1,184,8,1848
76549,0,215,9,2159
53040,1,190,8,1908
14851,0,181,5,1815
74902,1,211,2,2112
126008,0,189,5,1895
135898,0,206,1,2061
145956,1,209,2,2092
43584,1,207,2,2072
47104,0,198,1,1981
127224,0,190,5,1905
30446,0,217,9,2179
96146,0,210,1,2101
26670,1,200,8,2008
98313,1,186,8,1868
97403,0,216,9,2169
4598,0,198,1,1981
143919,1,206,8,2068
45478,0,196,1,1961
141684,0,183,5,1835
101735,0,208,1,2081
108603,0,213,9,2139
11353,0,192,1,1921
107157,0,189,5,1895
71727,0,214,9,2149
138733,0,209,1,2091
56038,0,209,1,2091
16105,0,186,5,1865
47391,0,187,5,1875
112169,0,209,1,2091
69484,0,191,5,1915
29539,0,206,1,2061
99273,0,202,1,2021
4966,0,195,1,1951
108674,0,180,5,1805
105130,1,186,8,1868
88999,0,217,9,2179
11259,0,183,5,1835
58656,0,191,5,1915
11981,1,215,2,2152
4618,0,200,1,2001
25360,0,189,5,1895
4360,0,215,9,2159
70594,0,181,5,1815
79961,0,196,1,1961
96289,0,184,5,1845
97905,0,186,5,1865
25329,0,186,5,1865
22475,0,181,5,1815
89756,0,213,9,2139
100107,0,205,1,2051
140434,1,218,2,2182
53328,1,219,2,2192
73504,0,192,1,1921
7851,1,203,8,2038
35809,1,192,8,1928
108053,1,198,8,1988
72005,0,202,1,2021
85869,0,185,5,1855
55325,1,218,2,2182
62631,0,187,5,1875
55099,0,196,1,1961
89036,0,181,5,1815
52898,0,216,9,2169
22929,1,187,8,1878
106646,0,218,9,2189
43247,1,214,2,2142
141077,0,202,1,2021
16451,0,181,5,1815
72262,0,188,5,1885
140430,1,218,2,2182
100674,0,182,5,1825
87708,0,209,1,2091
97532,0,188,5,1885
18883,1,183,8,1838
27787,0,191,5,1915
106058,0,199,1,1991
104402,0,194,1,1941
105223,0,196,1,1961
98022,0,197,1,1971
93167,0,193,1,1931
50551,0,182,5,1825
73704,0,212,9,2129
8831,0,180,5,1805
82643,0,183,5,1835
41096,0,199,1,1991
61183,0,203,1,2031
49154,1,203,8,2038
70260,0,188,5,1885
99316,0,206,1,2061
2400,0,219,9,2199
62630,0,187,5,1875
80855,0,205,1,2051
94741,0,190,5,1905
8549,1,192,8,1928
95939,0,190,5,1905
74936,0,215,9,2159
38850,0,215,9,2159
61275,0,212,9,2129
118886,0,199,1,1991
103458,0,180,5,1805
109970,1,189,8,1898
47674,1,215,2,2152
4378,1,216,2,2162
35897,1,200,8,2008
86038,1,202,8,2028
27519,0,205,1,2051
119122,0,182,5,1825
125266,0,195,1,1951
86145,0,213,9,2139
46429,0,211,9,2119
7197,1,218,2,2182
78093,0,209,1,2091
39804,0,190,5,1905
130874,1,194,8,1948
4585,0,197,1,1971
101266,0,201,1,2011
95688,0,205,1,2051
60137,1,218,2,2182
87367,0,215,9,2159
145314,0,185,5,1855
5157,0,214,9,2149
85893,0,187,5,1875
57105,0,196,1,1961
70517,0,214,9,2149
136967,0,192,1,1921
88188,0,216,9,2169
87648,0,203,1,2031
13071,0,203,1,2031
102021,0,196,1,1961
64950,0,218,9,2189
102042,1,198,8,1988
77591,0,199,1,1991
106713,0,184,5,1845
5970,1,215,2,2152
131290,0,196,1,1961
57353,0,181,5,1815
137238,0,220,9,2209
44993,0,188,5,1885
26394,0,212,9,2129
35775,0,188,5,1885
66905,0,213,9,2139
75812,0,182,5,1825
113346,1,206,8,2068
126819,0,190,5,1905
65729,0,216,9,2169
21111,0,205,1,2051
93240,1,200,8,2008
57545,0,200,1,2001
14849,1,181,8,1818
124711,0,180,5,1805
10100,0,187,5,1875
24625,1,196,8,1968
88775,0,195,1,1951
33617,0,213,9,2139
137492,0,205,1,2051
13536,0,210,1,2101
58095,0,215,9,2159
50291,0,196,1,1961
69987,0,201,1,2011
64597,1,183,8,1838
15438,1,200,8,2008
88877,1,205,8,2058
98805,0,195,1,1951
49260,0,213,9,2139
98427,0,198,1,1981
38335,1,204,8,2048
109495,0,182,5,1825
111645,0,196,1,1961
22073,0,181,5,1815
73218,1,203,8,2038
132664,0,213,9,2139
58449,1,210,2,2102
63251,0,209,1,2091
66917,0,215,9,2159
132557,0,202,1,2021
136166,0,193,1,1931
4769,0,215,9,2159
102405,0,195,1,1951
57399,1,185,8,1858
18661,0,201,1,2011
57894,0,195,1,1951
90703,0,187,5,1875
125550,0,183,5,1835
117511,0,181,5,1815
103209,1,195,8,1958
25280,0,181,5,1815
96744,0,190,5,1905
78346,0,195,1,1951
22100,0,184,5,1845
101771,0,211,9,2119
3980,0,217,9,2179
20960,1,190,8,1908
61472,0,191,5,1915
55002,0,186,5,1865
58689,0,194,1,1941
14076,0,184,5,1845
14959,0,192,1,1921
68737,0,196,1,1961
91696,1,206,8,2068
6462,0,184,5,1845
3261,0,185,5,1855
72483,0,210,1,2101
41732,1,182,8,1828
2475,0,186,5,1865
101274,0,202,1,2021
90776,0,195,1,1951
112197,0,211,9,2119
1501,0,209,1,2091
143534,1,208,2,2082
129218,1,189,8,1898
111332,0,205,1,2051
70602,0,182,5,1825
59855,0,190,5,1905
94296,0,186,5,1865
56340,1,200,8,2008
9868,1,204,8,2048
89942,0,191,5,1915
88925,1,210,2,2102
115644,1,195,8,1958
116283,0,219,9,2199
13830,1,199,8,1998
125403,0,209,1,2091
46314,0,199,1,1991
134419,1,188,8,1888
94303,1,186,8,1868
7921,0,210,1,2101
109629,1,195,8,1958
30886,0,180,5,1805
126771,0,185,5,1855
58007,0,206,1,2061
36895,0,180,5,1805
17077,0,203,1,2031
51346,0,181,5,1815
144224,1,196,8,1968
61142,0,199,1,1991
60151,0,180,5,1805
32572,0,189,5,1895
2263,0,205,1,2051
96355,0,191,5,1915
92233,0,180,5,1805
22995,0,193,1,1931
64435,0,207,1,2071
120924,0,202,1,2021
113221,0,193,1,1931
42535,0,182,5,1825
52365,0,203,1,2031
20074,1,182,8,1828
128102,0,198,1,1981
90593,1,216,2,2162
26877,0,181,5,1815
68788,0,201,1,2011
19357,0,190,5,1905
85458,0,184,5,1845
5349,1,193,8,1938
11567,0,213,9,2139
113359,0,207,1,2071
86533,0,211,9,2119
48445,0,212,9,2129
94175,0,214,9,2149
49715,1,219,2,2192
29551,0,207,1,2071
127861,0,214,9,2149
85978,1,196,8,1968
1708,1,190,8,1908
86682,0,186,5,1865
110594,0,211,9,2119
29305,1,183,8,1838
14596,1,196,8,1968
112365,0,188,5,1885
141634,0,218,9,2189
67273,0,210,1,2101
3248,1,184,8,1848
104929,1,206,8,2068
144118,0,186,5,1865
129411,0,208,1,2081
38688,1,199,8,1998
48745,1,202,8,2028
74120,1,213,2,2132
135030,0,209,1,2091
90800,0,197,1,1971
119614,1,191,8,1918
19363,0,191,5,1915
27460,1,199,8,1998
60827,1,207,2,2072
91588,1,196,8,1968
22994,0,193,1,1931
63637,0,207,1,2071
23470,1,201,8,2018
110609,0,213,9,2139
597,1,199,8,1998
87337,1,212,2,2122
120144,0,204,1,2041
56666,0,192,1,1921
96391,0,195,1,1951
38480,0,218,9,2189
23475,0,201,1,2011
45299,0,218,9,2189
38888,1,219,2,2192
42033,0,212,9,2129
89561,0,193,1,1931
144439,0,218,9,2189
10670,1,204,8,2048
61154,0,200,1,2001
51898,0,196,1,1961
60396,0,204,1,2041
23036,0,197,1,1971
81802,0,219,9,2199
96212,0,217,9,2179
101532,0,187,5,1875
72317,0,193,1,1931
24255,0,199,1,1991
100148,0,209,1,2091
69291,0,211,9,2119
4127,0,191,5,1915
93005,0,217,9,2179
67339,1,217,2,2172
141491,0,204,1,2041
91511,0,188,5,1885
15535,0,209,1,2091
11708,0,187,5,1875
17501,0,205,1,2051
46625,0,190,5,1905
133797,1,206,8,2068
42872,0,216,9,2169
134030,1,189,8,1898
143444,0,199,1,1991
54666,0,193,1,1931
19968,0,211,9,2119
90564,0,213,9,2139
90431,0,200,1,2001
103097,1,184,8,1848
93286,0,205,1,2051
28403,0,213,9,2139
8387,0,216,9,2169
10513,0,188,5,1885
75552,1,196,8,1968
112304,1,182,8,1828
102985,0,212,9,2129
115697,0,200,1,2001
31078,0,200,1,2001
85061,0,184,5,1845
67046,0,187,5,1875
74235,0,185,5,1855
100436,0,198,1,1981
