,leap_year_condition,decade,decade4,predicted_year_digit,predicted_year
93443,0,181,1,9,1819
126513,0,199,1,7,1997
98952,0,210,0,6,2106
91090,0,186,0,6,1866
83411,0,180,0,6,1806
37646,0,215,1,7,2157
30737,0,206,0,6,2066
103329,1,207,1,2,2072
31780,0,190,0,6,1906
93694,0,206,0,6,2066
91012,0,218,0,6,2186
51314,0,218,0,6,2186
87656,0,203,1,7,2037
98043,0,199,1,7,1997
70037,0,206,0,6,2066
48193,0,187,1,9,1879
96025,0,198,0,6,1986
110094,1,202,0,8,2028
131310,0,198,0,6,1986
70930,0,215,1,7,2157
117609,1,191,1,2,1912
43690,0,218,0,6,2186
117491,0,219,1,7,2197
97538,0,189,1,9,1899
19699,0,185,1,9,1859
88490,0,207,1,7,2077
39664,0,216,0,6,2166
24581,1,192,0,8,1928
70076,0,210,0,6,2106
7987,1,216,0,8,2168
16719,0,207,1,7,2077
122255,0,215,1,7,2157
90810,1,198,0,8,1988
80077,0,207,1,7,2077
128062,0,194,0,6,1946
1904,0,210,0,6,2106
128453,0,193,1,7,1937
39778,0,187,1,9,1879
78575,1,218,0,8,2188
49126,1,200,0,8,2008
6487,0,187,1,9,1879
12006,0,217,1,7,2177
95815,0,217,1,7,2177
25697,0,183,1,9,1839
123415,1,210,0,8,2108
47911,1,199,1,2,1992
104450,0,199,1,7,1997
68909,0,213,1,7,2137
107921,1,185,1,2,1852
20469,0,181,1,9,1819
31334,1,185,1,2,1852
119829,0,213,1,7,2137
88293,0,187,1,9,1879
81519,1,191,1,2,1912
79283,0,208,0,6,2086
2515,0,190,0,6,1906
90018,0,199,1,7,1997
120291,1,219,1,2,2192
88637,1,181,1,2,1812
96523,0,208,0,6,2086
111642,1,196,0,8,1968
10118,0,189,1,9,1899
35054,0,196,0,6,1966
115179,1,189,1,2,1892
118884,1,198,0,8,1988
41914,0,201,1,7,2017
77738,0,214,0,6,2146
34355,0,207,1,7,2077
97275,0,203,1,7,2037
28547,1,187,1,2,1872
111490,1,181,1,2,1812
76105,1,211,1,2,2112
140853,0,180,0,6,1806
78869,0,207,1,7,2077
21528,0,207,1,7,2077
112067,1,198,0,8,1988
34944,0,185,1,9,1859
59890,0,194,0,6,1946
19906,0,205,1,7,2057
10637,0,201,1,7,2017
3589,0,218,0,6,2186
145367,1,190,0,8,1908
57019,0,187,1,9,1879
24563,0,190,0,6,1906
144283,0,202,0,6,2026
33712,1,182,0,8,1828
40421,0,212,0,6,2126
137188,0,215,1,7,2157
29693,0,181,1,9,1819
8417,0,219,1,7,2197
141916,0,206,0,6,2066
100239,0,219,1,7,2197
66476,0,211,1,7,2117
135396,0,196,0,6,1966
17522,0,207,1,7,2077
103285,1,202,0,8,2028
142068,0,181,1,9,1819
115323,1,203,1,2,2032
103769,0,211,1,7,2117
27168,0,210,0,6,2106
88719,0,189,1,9,1899
86925,0,210,0,6,2106
99606,0,195,1,7,1957
140291,0,204,0,6,2046
119361,1,206,0,8,2068
141631,0,218,0,6,2186
42378,0,207,1,7,2077
6081,0,186,0,6,1866
74801,0,201,1,7,2017
9375,1,195,1,2,1952
73599,1,201,1,2,2012
143169,1,211,1,2,2112
70934,0,215,1,7,2157
102929,0,207,1,7,2077
138299,0,205,1,7,2057
81563,1,196,0,8,1968
77375,0,218,0,6,2186
145888,1,202,0,8,2028
10850,0,182,0,6,1826
108549,0,207,1,7,2077
88294,0,187,1,9,1879
68753,0,198,0,6,1986
64222,0,186,0,6,1866
117700,0,200,0,6,2006
102716,1,186,0,8,1868
96671,0,183,1,9,1839
44435,0,212,0,6,2126
50004,1,208,0,8,2088
120066,0,196,0,6,1966
100048,0,199,1,7,1997
24234,0,197,1,7,1977
78392,0,199,1,7,1997
6919,0,190,0,6,1906
93386,0,215,1,7,2157
79314,0,211,1,7,2117
20142,1,189,1,2,1892
48075,1,215,1,2,2152
50675,0,194,0,6,1946
129969,0,184,0,6,1846
2956,0,194,0,6,1946
1859,0,205,1,7,2057
108593,0,212,0,6,2126
590,0,198,0,6,1986
14746,0,211,1,7,2117
48775,0,205,1,7,2057
35471,0,198,0,6,1986
86486,0,207,1,7,2077
42912,0,180,0,6,1806
83221,0,201,1,7,2017
119405,1,210,0,8,2108
138556,0,191,1,9,1919
65055,0,189,1,9,1899
120137,0,203,1,7,2037
43541,0,203,1,7,2037
132150,0,202,0,6,2026
27110,0,204,0,6,2046
15491,0,205,1,7,2057
15462,1,202,0,8,2028
29946,1,207,1,2,2072
87587,0,196,0,6,1966
31813,0,193,1,7,1937
44241,0,193,1,7,1937
90863,0,203,1,7,2037
16744,0,210,0,6,2106
121623,1,192,0,8,1928
111856,0,217,1,7,2177
85669,1,205,1,2,2052
49057,0,193,1,7,1937
4382,1,217,1,2,2172
47233,1,211,1,2,2112
105539,1,187,1,2,1872
45082,0,197,1,7,1977
31653,0,217,1,7,2177
105011,0,215,1,7,2157
48298,0,197,1,7,1977
134902,0,196,0,6,1966
69444,0,187,1,9,1879
658,0,205,1,7,2057
98030,0,198,0,6,1986
139809,1,196,0,8,1968
7362,1,194,0,8,1948
1032,0,203,1,7,2037
125692,0,197,1,7,1977
403,0,180,0,6,1806
3378,0,197,1,7,1977
139332,1,188,0,8,1888
85477,1,186,0,8,1868
55911,1,197,1,2,1972
77590,0,199,1,7,1997
17086,1,204,0,8,2048
144772,0,211,1,7,2117
33307,1,182,0,8,1828
4648,0,203,1,7,2037
41014,1,191,1,2,1912
81436,0,183,1,9,1839
53584,0,205,1,7,2057
63651,0,209,1,7,2097
90831,0,200,0,6,2006
4005,1,219,1,2,2192
105454,1,219,1,2,2192
20619,1,196,0,8,1968
96883,0,204,0,6,2046
91958,0,192,0,6,1926
26217,1,195,1,2,1952
6559,0,194,0,6,1946
143138,0,208,0,6,2086
133509,0,217,1,7,2177
57195,0,205,1,7,2057
117677,1,198,0,8,1988
84223,0,181,1,9,1819
39149,1,205,1,2,2052
128517,0,199,1,7,1997
11022,0,199,1,7,1997
31762,0,188,0,6,1886
70096,0,212,0,6,2126
7083,0,206,0,6,2066
49983,0,205,1,7,2057
137874,0,203,1,7,2037
24781,1,212,0,8,2128
49215,0,209,1,7,2097
138362,0,212,0,6,2126
44250,1,194,0,8,1948
83535,0,192,0,6,1926
1619,0,181,1,9,1819
122782,1,187,1,2,1872
4066,1,185,1,2,1852
40629,1,192,0,8,1928
48254,0,193,1,7,1937
132325,1,219,1,2,2192
94508,0,207,1,7,2077
31279,0,180,0,6,1806
27513,0,204,0,6,2046
36392,0,210,0,6,2106
140085,0,183,1,9,1839
33752,1,186,0,8,1868
67261,0,209,1,7,2097
54500,0,216,0,6,2166
141705,0,185,1,9,1859
145881,0,202,0,6,2026
44612,0,190,0,6,1906
47734,0,181,1,9,1819
81669,0,206,0,6,2066
88964,0,214,0,6,2146
118544,0,204,0,6,2046
115243,1,195,1,2,1952
142308,0,205,1,7,2057
29428,0,195,1,7,1957
99394,0,214,0,6,2146
63880,0,192,0,6,1926
88497,0,207,1,7,2077
42193,1,188,0,8,1888
79088,0,189,1,9,1899
104914,0,205,1,7,2057
6465,0,184,0,6,1846
82285,1,188,0,8,1888
131914,0,218,0,6,2186
71261,1,208,0,8,2088
106142,0,207,1,7,2077
65448,0,188,0,6,1886
25121,0,205,1,7,2057
127456,0,213,1,7,2137
128917,1,199,1,2,1992
117589,1,189,1,2,1892
116488,0,199,1,7,1997
58846,0,210,0,6,2106
131598,0,187,1,9,1879
106239,0,217,1,7,2177
129263,0,194,0,6,1946
89214,1,199,1,2,1992
136584,0,194,0,6,1946
54100,0,216,0,6,2166
42743,0,203,1,7,2037
76287,0,189,1,9,1899
59104,0,195,1,7,1957
44553,0,184,0,6,1846
88818,0,199,1,7,1997
123291,1,198,0,8,1988
108899,1,202,0,8,2028
83419,0,181,1,9,1819
122282,0,217,1,7,2177
85218,0,200,0,6,2006
80768,0,196,0,6,1966
77413,1,182,0,8,1828
131974,0,184,0,6,1846
16836,0,219,1,7,2197
81684,0,208,0,6,2086
77153,0,196,0,6,1966
92066,0,203,1,7,2037
100362,1,191,1,2,1912
15028,0,199,1,7,1997
124588,0,207,1,7,2077
68134,0,216,0,6,2166
101842,0,218,0,6,2186
73021,0,183,1,9,1839
79335,0,213,1,7,2137
21522,0,206,0,6,2066
60214,1,186,0,8,1868
62590,0,183,1,9,1839
89623,1,200,0,8,2008
781,1,218,0,8,2188
28377,0,210,0,6,2106
124109,1,200,0,8,2008
45101,0,198,0,6,1986
38347,1,205,1,2,2052
103587,0,192,0,6,1926
115105,0,181,1,9,1819
64055,1,209,1,2,2092
62169,0,181,1,9,1819
28458,1,218,0,8,2188
82503,0,209,1,7,2097
63626,1,206,0,8,2068
9510,0,208,0,6,2086
126259,0,214,0,6,2146
87514,1,189,1,2,1892
61911,0,195,1,7,1957
135847,1,201,1,2,2012
75119,1,193,1,2,1932
45214,0,210,0,6,2106
134377,0,184,0,6,1846
132446,1,191,1,2,1912
27425,0,195,1,7,1957
104416,1,195,1,2,1952
104197,0,213,1,7,2137
142115,1,186,0,8,1868
145940,1,208,0,8,2088
34007,0,212,0,6,2126
71796,0,181,1,9,1819
22080,0,182,0,6,1826
18611,0,196,0,6,1966
383,0,218,0,6,2186
72762,0,198,0,6,1986
57739,1,219,1,2,2192
118020,0,192,0,6,1926
86279,1,186,0,8,1868
57084,0,194,0,6,1946
146442,0,218,0,6,2186
69872,0,189,1,9,1899
62025,0,207,1,7,2077
93416,1,218,0,8,2188
88611,0,219,1,7,2197
144922,1,186,0,8,1868
128655,0,213,1,7,2137
103790,1,213,1,2,2132
29654,0,218,0,6,2186
65694,0,213,1,7,2137
101256,1,200,0,8,2008
32681,1,200,0,8,2008
65293,0,213,1,7,2137
7520,0,210,0,6,2106
85625,1,201,1,2,2012
57431,1,188,0,8,1888
142976,0,192,0,6,1926
5301,1,188,0,8,1888
90751,0,192,0,6,1926
111048,1,217,1,2,2172
46452,0,213,1,7,2137
70194,0,181,1,9,1819
87448,0,183,1,9,1839
101651,0,199,1,7,1997
69575,0,200,0,6,2006
26205,1,194,0,8,1948
4417,0,180,0,6,1806
131732,1,200,0,8,2008
143598,1,214,0,8,2148
10435,0,180,0,6,1806
127647,0,192,0,6,1926
130654,0,212,0,6,2126
121184,0,188,0,6,1886
18402,0,215,1,7,2157
74793,0,200,0,6,2006
102227,0,217,1,7,2177
70038,1,206,0,8,2068
92602,1,217,1,2,2172
57196,0,205,1,7,2057
19596,1,214,0,8,2148
33345,0,186,0,6,1866
140836,0,218,0,6,2186
98528,0,208,0,6,2086
73275,0,209,1,7,2097
1747,0,194,0,6,1946
9216,0,219,1,7,2197
143838,0,198,0,6,1986
103103,0,184,0,6,1846
19235,1,218,0,8,2188
27989,1,212,0,8,2128
60563,1,181,1,2,1812
15573,0,213,1,7,2137
70539,1,216,0,8,2168
131050,1,212,0,8,2128
69155,0,198,0,6,1986
93798,0,216,0,6,2166
26255,0,199,1,7,1997
11281,0,185,1,9,1859
135876,0,204,0,6,2046
100064,0,201,1,7,2017
45971,0,205,1,7,2057
6963,0,194,0,6,1946
140078,1,183,1,2,1832
28035,0,216,0,6,2166
143733,0,187,1,9,1879
75778,0,219,1,7,2197
68324,0,195,1,7,1957
137192,0,215,1,7,2157
89016,0,219,1,7,2197
96846,0,200,0,6,2006
55620,0,208,0,6,2086
22494,0,183,1,9,1839
25477,0,201,1,7,2017
75167,1,198,0,8,1988
40450,0,215,1,7,2157
46474,0,215,1,7,2157
105175,0,191,1,9,1919
116304,0,181,1,9,1819
40116,1,181,1,2,1812
139656,0,181,1,9,1819
92968,0,213,1,7,2137
99967,0,191,1,9,1919
119153,1,185,1,2,1852
105555,1,189,1,2,1892
109066,0,219,1,7,2197
95968,0,192,0,6,1926
133192,1,186,0,8,1868
4327,0,211,1,7,2117
26752,0,208,0,6,2086
75578,0,199,1,7,1997
20658,0,200,0,6,2006
90773,0,194,0,6,1946
57061,0,191,1,9,1919
89905,0,188,0,6,1886
140440,0,219,1,7,2197
55364,0,182,0,6,1826
92741,0,191,1,9,1919
134065,0,193,1,7,1937
55356,0,181,1,9,1819
77480,0,188,0,6,1886
131064,0,213,1,7,2137
78622,0,182,0,6,1826
13380,0,194,0,6,1946
35640,1,215,1,2,2152
124887,1,197,1,2,1972
58782,1,203,1,2,2032
119262,0,196,0,6,1966
52010,0,208,0,6,2086
51493,0,196,0,6,1966
123131,1,182,0,8,1828
42762,1,205,1,2,2052
115406,0,211,1,7,2117
33253,0,217,1,7,2177
136849,0,181,1,9,1819
62679,0,192,0,6,1926
81614,0,201,1,7,2017
77915,0,192,0,6,1926
139454,0,201,1,7,2017
143955,0,210,0,6,2106
86759,0,194,0,6,1946
104387,0,192,0,6,1926
128518,0,199,1,7,1997
114236,1,215,1,2,2152
3203,1,219,1,2,2192
16764,0,212,0,6,2126
136121,0,188,0,6,1886
130140,1,201,1,2,2012
139754,0,190,0,6,1906
38002,1,210,0,8,2108
13253,1,182,0,8,1828
24866,1,180,0,8,1808
61567,0,201,1,7,2017
17833,0,198,0,6,1986
11975,0,214,0,6,2146
105141,0,187,1,9,1879
86326,0,191,1,9,1919
66532,0,216,0,6,2166
43459,0,195,1,7,1957
97065,0,182,0,6,1826
124752,0,184,0,6,1846
23898,0,203,1,7,2037
113272,0,199,1,7,1997
137021,0,198,0,6,1986
121129,0,182,0,6,1826
102491,1,203,1,2,2032
39657,0,215,1,7,2157
44118,1,180,0,8,1808
69532,0,195,1,7,1957
46911,0,219,1,7,2197
136994,1,195,1,2,1952
78508,0,211,1,7,2117
41175,0,207,1,7,2077
50354,0,202,0,6,2026
50531,0,180,0,6,1806
35183,1,209,1,2,2092
74787,0,200,0,6,2006
42542,1,183,1,2,1832
41280,0,217,1,7,2177
80148,0,214,0,6,2146
135257,0,182,0,6,1826
97144,0,190,0,6,1906
33365,0,188,0,6,1886
30978,0,190,0,6,1906
91332,0,210,0,6,2106
45181,0,206,0,6,2066
142159,1,190,0,8,1908
24327,0,206,0,6,2066
45572,0,205,1,7,2057
30321,0,204,0,6,2046
43233,0,212,0,6,2126
103302,0,204,0,6,2046
88830,0,200,0,6,2006
20427,0,217,1,7,2177
26812,0,214,0,6,2146
134521,0,198,0,6,1986
56208,1,186,0,8,1868
11269,0,184,0,6,1846
51987,0,205,1,7,2057
24959,0,189,1,9,1899
36855,1,216,0,8,2168
32193,0,191,1,9,1919
5533,1,212,0,8,2128
136037,0,180,0,6,1806
64209,0,184,0,6,1846
85026,0,181,1,9,1819
41046,1,194,0,8,1948
88555,0,213,1,7,2137
95369,1,213,1,2,2132
79712,0,211,1,7,2117
146170,0,190,0,6,1906
87447,0,182,0,6,1826
92208,0,217,1,7,2177
81388,0,218,0,6,2186
123186,0,187,1,9,1879
82639,0,183,1,9,1839
14388,0,215,1,7,2157
30271,1,199,1,2,1992
744,0,214,0,6,2146
34278,0,199,1,7,1997
133042,0,211,1,7,2117
49673,0,215,1,7,2157
78250,0,185,1,9,1859
20180,0,193,1,7,1937
64520,1,216,0,8,2168
42628,0,192,0,6,1926
17589,0,214,0,6,2146
21435,0,198,0,6,1986
55864,0,192,0,6,1926
27007,1,194,0,8,1948
8983,0,196,0,6,1966
71331,0,215,1,7,2157
59955,0,200,0,6,2006
133989,0,185,1,9,1859
45291,0,217,1,7,2177
137020,0,198,0,6,1986
141104,1,205,1,2,2052
109623,0,195,1,7,1957
78182,1,218,0,8,2188
99979,0,193,1,7,1937
44576,0,186,0,6,1866
65904,1,194,0,8,1948
87941,0,192,0,6,1926
132501,0,197,1,7,1977
118159,0,206,0,6,2066
127441,1,212,0,8,2128
84019,0,201,1,7,2017
78425,0,203,1,7,2037
145696,1,183,1,2,1832
45909,0,199,1,7,1997
76030,0,204,0,6,2046
26482,1,181,1,2,1812
62134,1,218,0,8,2188
74252,0,186,0,6,1866
29187,0,211,1,7,2117
143569,0,211,1,7,2117
33258,1,217,1,2,2172
59406,0,185,1,9,1859
99805,0,215,1,7,2157
84490,1,208,0,8,2088
124572,0,206,0,6,2066
96834,0,199,1,7,1997
48621,0,190,0,6,1906
79725,0,212,0,6,2126
109691,0,201,1,7,2017
113815,1,213,1,2,2132
88283,0,186,0,6,1866
89194,1,197,1,2,1972
107736,1,206,0,8,2068
111822,1,214,0,8,2148
101594,0,194,0,6,1946
2472,0,186,0,6,1866
91482,0,185,1,9,1859
33408,0,192,0,6,1926
15878,0,203,1,7,2037
35852,0,196,0,6,1966
119790,1,209,1,2,2092
16232,1,199,1,2,1992
104495,0,203,1,7,2037
35058,0,197,1,7,1977
137470,0,203,1,7,2037
12416,0,218,0,6,2186
128593,0,207,1,7,2077
140678,0,203,1,7,2037
29769,0,189,1,9,1899
6948,0,193,1,7,1937
141407,0,195,1,7,1957
226,0,202,0,6,2026
13878,1,204,0,8,2048
77491,0,189,1,9,1899
112201,0,212,0,6,2126
49312,0,219,1,7,2197
134511,1,197,1,2,1972
101968,0,191,1,9,1919
58953,0,180,0,6,1806
91867,0,183,1,9,1839
22942,0,188,0,6,1886
28177,0,190,0,6,1906
58467,0,212,0,6,2126
86109,0,209,1,7,2097
98574,0,212,0,6,2126
123183,1,187,1,2,1872
134920,1,198,0,8,1988
145769,0,190,0,6,1906
32182,0,190,0,6,1906
45061,0,194,0,6,1946
108017,1,194,0,8,1948
133813,1,208,0,8,2088
132124,0,199,1,7,1997
80559,0,215,1,7,2157
39202,0,210,0,6,2106
60637,0,188,0,6,1886
30819,0,214,0,6,2146
65041,0,187,1,9,1879
105365,0,210,0,6,2106
104526,0,206,0,6,2066
130645,1,212,0,8,2128
503,0,190,0,6,1906
88634,0,181,1,9,1819
139770,0,192,0,6,1926
121726,0,202,0,6,2026
91872,0,184,0,6,1846
117717,1,202,0,8,2028
106967,0,210,0,6,2106
82513,1,210,0,8,2108
96349,0,190,0,6,1906
135712,0,187,1,9,1879
42817,0,211,1,7,2117
22776,1,212,0,8,2128
46076,0,216,0,6,2166
57913,0,196,0,6,1966
89923,0,189,1,9,1899
93212,1,198,0,8,1988
82077,0,207,1,7,2077
145857,0,199,1,7,1997
10036,0,181,1,9,1819
78794,0,199,1,7,1997
39648,0,215,1,7,2157
112134,0,205,1,7,2057
114788,0,190,0,6,1906
83328,0,212,0,6,2126
9499,1,207,1,2,2072
36258,1,196,0,8,1968
2039,0,183,1,9,1839
56438,0,209,1,7,2097
48565,1,184,0,8,1848
76549,0,215,1,7,2157
53040,1,190,0,8,1908
14851,0,181,1,9,1819
74902,1,211,1,2,2112
126008,0,189,1,9,1899
135898,0,206,0,6,2066
145956,1,209,1,2,2092
43584,1,207,1,2,2072
47104,0,198,0,6,1986
127224,0,190,0,6,1906
30446,0,217,1,7,2177
96146,0,210,0,6,2106
26670,1,200,0,8,2008
98313,1,186,0,8,1868
97403,0,216,0,6,2166
4598,0,198,0,6,1986
143919,1,206,0,8,2068
45478,0,196,0,6,1966
141684,0,183,1,9,1839
101735,0,208,0,6,2086
108603,0,213,1,7,2137
11353,0,192,0,6,1926
107157,0,189,1,9,1899
71727,0,214,0,6,2146
138733,0,209,1,7,2097
56038,0,209,1,7,2097
16105,0,186,0,6,1866
47391,0,187,1,9,1879
112169,0,209,1,7,2097
69484,0,191,1,9,1919
29539,0,206,0,6,2066
99273,0,202,0,6,2026
4966,0,195,1,7,1957
108674,0,180,0,6,1806
105130,1,186,0,8,1868
88999,0,217,1,7,2177
11259,0,183,1,9,1839
58656,0,191,1,9,1919
11981,1,215,1,2,2152
4618,0,200,0,6,2006
25360,0,189,1,9,1899
4360,0,215,1,7,2157
70594,0,181,1,9,1819
79961,0,196,0,6,1966
96289,0,184,0,6,1846
97905,0,186,0,6,1866
25329,0,186,0,6,1866
22475,0,181,1,9,1819
89756,0,213,1,7,2137
100107,0,205,1,7,2057
140434,1,218,0,8,2188
53328,1,219,1,2,2192
73504,0,192,0,6,1926
7851,1,203,1,2,2032
35809,1,192,0,8,1928
108053,1,198,0,8,1988
72005,0,202,0,6,2026
85869,0,185,1,9,1859
55325,1,218,0,8,2188
62631,0,187,1,9,1879
55099,0,196,0,6,1966
89036,0,181,1,9,1819
52898,0,216,0,6,2166
22929,1,187,1,2,1872
106646,0,218,0,6,2186
43247,1,214,0,8,2148
141077,0,202,0,6,2026
16451,0,181,1,9,1819
72262,0,188,0,6,1886
140430,1,218,0,8,2188
100674,0,182,0,6,1826
87708,0,209,1,7,2097
97532,0,188,0,6,1886
18883,1,183,1,2,1832
27787,0,191,1,9,1919
106058,0,199,1,7,1997
104402,0,194,0,6,1946
105223,0,196,0,6,1966
98022,0,197,1,7,1977
93167,0,193,1,7,1937
50551,0,182,0,6,1826
73704,0,212,0,6,2126
8831,0,180,0,6,1806
82643,0,183,1,9,1839
41096,0,199,1,7,1997
61183,0,203,1,7,2037
49154,1,203,1,2,2032
70260,0,188,0,6,1886
99316,0,206,0,6,2066
2400,0,219,1,7,2197
62630,0,187,1,9,1879
80855,0,205,1,7,2057
94741,0,190,0,6,1906
8549,1,192,0,8,1928
95939,0,190,0,6,1906
74936,0,215,1,7,2157
38850,0,215,1,7,2157
61275,0,212,0,6,2126
118886,0,199,1,7,1997
103458,0,180,0,6,1806
109970,1,189,1,2,1892
47674,1,215,1,2,2152
4378,1,216,0,8,2168
35897,1,200,0,8,2008
86038,1,202,0,8,2028
27519,0,205,1,7,2057
119122,0,182,0,6,1826
125266,0,195,1,7,1957
86145,0,213,1,7,2137
46429,0,211,1,7,2117
7197,1,218,0,8,2188
78093,0,209,1,7,2097
39804,0,190,0,6,1906
130874,1,194,0,8,1948
4585,0,197,1,7,1977
101266,0,201,1,7,2017
95688,0,205,1,7,2057
60137,1,218,0,8,2188
87367,0,215,1,7,2157
145314,0,185,1,9,1859
5157,0,214,0,6,2146
85893,0,187,1,9,1879
57105,0,196,0,6,1966
70517,0,214,0,6,2146
136967,0,192,0,6,1926
88188,0,216,0,6,2166
87648,0,203,1,7,2037
13071,0,203,1,7,2037
102021,0,196,0,6,1966
64950,0,218,0,6,2186
102042,1,198,0,8,1988
77591,0,199,1,7,1997
106713,0,184,0,6,1846
5970,1,215,1,2,2152
131290,0,196,0,6,1966
57353,0,181,1,9,1819
137238,0,220,0,6,2206
44993,0,188,0,6,1886
26394,0,212,0,6,2126
35775,0,188,0,6,1886
66905,0,213,1,7,2137
75812,0,182,0,6,1826
113346,1,206,0,8,2068
126819,0,190,0,6,1906
65729,0,216,0,6,2166
21111,0,205,1,7,2057
93240,1,200,0,8,2008
57545,0,200,0,6,2006
14849,1,181,1,2,1812
124711,0,180,0,6,1806
10100,0,187,1,9,1879
24625,1,196,0,8,1968
88775,0,195,1,7,1957
33617,0,213,1,7,2137
137492,0,205,1,7,2057
13536,0,210,0,6,2106
58095,0,215,1,7,2157
50291,0,196,0,6,1966
69987,0,201,1,7,2017
64597,1,183,1,2,1832
15438,1,200,0,8,2008
88877,1,205,1,2,2052
98805,0,195,1,7,1957
49260,0,213,1,7,2137
98427,0,198,0,6,1986
38335,1,204,0,8,2048
109495,0,182,0,6,1826
111645,0,196,0,6,1966
22073,0,181,1,9,1819
73218,1,203,1,2,2032
132664,0,213,1,7,2137
58449,1,210,0,8,2108
63251,0,209,1,7,2097
66917,0,215,1,7,2157
132557,0,202,0,6,2026
136166,0,193,1,7,1937
4769,0,215,1,7,2157
102405,0,195,1,7,1957
