,index
1098,113291
1099,69517
1100,134609
1101,22541
1102,86932
1103,60137
1104,65081
1105,45231
1106,98125
1107,61018
1108,132069
1109,15047
1110,59274
1111,32460
1112,66825
1113,86864
1114,135833
1115,120253
1116,41581
1117,28874
1118,118646
1119,15737
1120,88359
1121,45652
1122,110132
1123,78918
1124,145673
1125,46348
1126,37238
1127,104682
1128,111566
1129,110821
1130,83652
1131,144504
1132,9296
1133,138011
1134,38579
1135,85094
1136,97465
1137,102577
1138,90533
1139,132288
1140,30185
1141,39614
1142,17565
1143,33745
1144,46325
1145,89060
1146,51163
1147,121096
1148,41104
1149,97792
1150,125834
1151,95748
1152,57030
1153,80718
1154,125537
1155,14666
1156,81929
1157,25849
1158,65309
1159,40267
1160,127620
1161,26052
1162,53599
1163,106186
1164,39175
1165,28348
1166,52474
1167,109098
1168,139408
1169,80233
1170,73111
1171,133241
1172,19111
1173,143269
1174,32245
1175,110089
1176,30484
1177,140136
1178,97286
1179,108547
1180,102689
1181,115274
1182,99110
1183,54736
1184,139019
1185,16502
1186,107211
1187,20450
1188,32005
1189,111003
1190,95605
1191,105323
1192,43164
1193,131573
1194,121539
1195,54658
1196,32535
1197,64575
1198,63249
1199,88330
1200,104808
1201,23432
1202,58627
1203,67443
1204,86904
1205,9172
1206,108227
1207,55866
1208,52926
1209,113849
1210,132184
1211,73440
1212,137603
1213,99565
1214,143744
1215,72097
1216,105423
1217,99447
1218,39386
1219,11964
1220,41244
1221,99471
1222,76358
1223,4672
1224,123562
1225,132573
1226,133991
1227,40049
1228,26218
1229,87484
1230,40765
1231,57083
1232,60066
1233,62409
1234,64433
1235,100484
1236,309
1237,134418
1238,2710
1239,128376
1240,20932
1241,134255
1242,48264
1243,139261
1244,32197
1245,33402
1246,142995
1247,142293
1248,76124
1249,83200
1250,69619
1251,125194
1252,3229
1253,72588
1254,125460
1255,74604
1256,145916
1257,5534
1258,99153
1259,49434
1260,63940
1261,138921
1262,83364
1263,127493
1264,107837
1265,39194
1266,53604
1267,71544
1268,86093
1269,10459
1270,39562
1271,89702
1272,120256
1273,34495
1274,121034
1275,116197
1276,56862
1277,14825
1278,45463
1279,137326
1280,62716
1281,74697
1282,9964
1283,112972
1284,60056
1285,15486
1286,117353
1287,108184
1288,30399
1289,113411
1290,72865
1291,25317
1292,47225
1293,49624
1294,69757
1295,121170
1296,48572
1297,124073
1298,72761
1299,20156
1300,20343
1301,64206
1302,131644
1303,2137
1304,91192
1305,98746
1306,25696
1307,75859
1308,1278
1309,95724
1310,68651
1311,64685
1312,97875
1313,76295
1314,42464
1315,43052
1316,133416
1317,74713
1318,14311
1319,31781
1320,40763
1321,105122
1322,146458
1323,55226
1324,23700
1325,113383
1326,87686
1327,109753
1328,132062
1329,123871
1330,92706
1331,134453
1332,122689
1333,122725
1334,5827
1335,144476
1336,112257
1337,50243
1338,131929
1339,95640
1340,28195
1341,70267
1342,4320
1343,81579
1344,35201
1345,20404
1346,22577
1347,17626
1348,42384
1349,8409
1350,73877
1351,105253
1352,37516
1353,32043
1354,81747
1355,99023
1356,19541
1357,141958
1358,56711
1359,131418
1360,18010
1361,1619
1362,40001
1363,50226
1364,64620
1365,108706
1366,133127
1367,20851
1368,84441
1369,26755
1370,82305
1371,45510
1372,127008
1373,90427
1374,144869
1375,55620
1376,46943
1377,100659
1378,141022
1379,144531
1380,68635
1381,46549
1382,16116
1383,120158
1384,88476
1385,14920
1386,89266
1387,134397
1388,56002
1389,25604
1390,87661
1391,60401
1392,126018
1393,141912
1394,119156
1395,40135
1396,30217
1397,21763
1398,85501
1399,29011
1400,34215
1401,106367
1402,88291
1403,139350
1404,13776
1405,40376
1406,39994
1407,29819
1408,62935
1409,85130
1410,128132
1411,92201
1412,19507
1413,127548
1414,7168
1415,93351
1416,64583
1417,4689
1418,48168
1419,82427
1420,142788
1421,2795
1422,82385
1423,59890
1424,4325
1425,9412
1426,85211
1427,129332
1428,130524
1429,52219
1430,91588
1431,89148
1432,12245
1433,128119
1434,96696
1435,65167
1436,135433
1437,70039
1438,88262
1439,77511
1440,115737
1441,49736
1442,41736
1443,107107
1444,49757
1445,79359
1446,77867
1447,1188
1448,93516
1449,14026
1450,86602
1451,76830
1452,16070
1453,106878
1454,87825
1455,40752
1456,239
1457,30064
1458,70633
1459,21880
1460,139476
1461,143913
1462,76146
1463,96424
1464,117101
1465,87285
1466,60012
1467,82023
1468,95082
1469,136135
1470,66774
1471,115899
1472,135085
1473,36348
1474,81017
1475,69898
1476,77648
1477,43549
1478,27128
1479,27628
1480,24703
1481,137337
1482,45164
1483,10623
1484,132610
1485,86698
1486,92290
1487,90582
1488,120466
1489,58309
1490,95322
1491,133224
1492,65240
1493,66639
1494,85202
1495,107242
1496,95674
1497,65613
1498,134455
1499,15602
1500,142064
1501,131637
1502,121005
1503,62139
1504,31014
1505,125425
1506,99176
1507,130937
1508,67055
1509,47230
1510,109884
1511,139675
1512,60527
1513,86247
1514,99442
1515,129720
1516,110482
1517,22354
1518,18500
1519,144209
1520,47388
1521,87353
1522,92385
1523,91018
1524,38319
1525,144448
1526,123780
1527,29407
1528,26482
1529,81872
1530,30215
1531,14859
1532,11797
1533,96271
1534,138080
1535,65909
1536,51454
1537,133619
1538,125051
1539,112417
1540,78948
1541,132143
1542,78633
1543,106297
1544,54478
1545,130680
1546,114011
1547,120801
1548,19047
1549,619
1550,131100
1551,57732
1552,55553
1553,28517
1554,68787
1555,129311
1556,65555
1557,68326
1558,45768
1559,4579
1560,104287
1561,121625
1562,129445
1563,1119
1564,64523
1565,127337
1566,72972
1567,114949
1568,114727
1569,54555
1570,141147
1571,40581
1572,70730
1573,16095
1574,15128
1575,33201
1576,12851
1577,63295
1578,108540
1579,4408
1580,23101
1581,93214
1582,144453
1583,3408
1584,96551
1585,111404
1586,47796
1587,21321
1588,74190
1589,76133
1590,74269
1591,45155
1592,141197
1593,58088
1594,141512
1595,144543
1596,70725
1597,88031
1598,9013
1599,24596
1600,27591
1601,1339
1602,137848
1603,60158
1604,32623
1605,94903
1606,42900
1607,56492
1608,58923
1609,53823
1610,71776
1611,121319
1612,125398
1613,2839
1614,38586
1615,61513
1616,137456
1617,63318
1618,14130
1619,327
1620,118829
1621,127004
1622,78938
1623,114189
1624,37097
1625,14493
1626,100327
1627,48124
1628,107981
1629,120819
1630,135398
1631,116552
1632,91913
1633,142091
1634,86323
1635,115244
1636,119509
1637,97788
1638,18226
1639,22879
1640,59106
1641,1505
1642,5599
1643,77815
1644,41497
1645,81398
1646,6852
1647,46853
1648,99186
1649,142361
1650,105371
1651,58942
1652,6471
1653,25433
1654,1382
1655,64323
1656,113063
1657,39328
1658,113951
1659,45177
1660,117161
1661,112765
1662,16872
1663,10555
1664,112767
1665,57906
1666,109327
1667,98064
1668,145768
1669,99847
1670,43023
1671,134374
1672,107565
1673,132748
1674,28430
1675,96787
1676,118974
1677,38524
1678,116005
1679,135498
1680,113717
1681,9966
1682,2989
1683,12927
1684,110576
1685,82406
1686,15565
1687,36994
1688,9898
1689,51377
1690,112028
1691,133305
1692,72463
1693,142675
1694,36418
1695,42201
1696,18848
1697,54123
1698,46386
1699,108079
1700,17973
1701,69542
1702,131968
1703,85380
1704,59395
1705,7307
1706,37249
1707,80437
1708,26278
1709,41340
1710,75887
1711,16845
1712,38789
1713,25613
1714,83796
1715,113526
1716,108148
1717,67047
1718,145729
1719,22980
1720,61425
1721,56173
1722,55103
1723,62620
1724,50183
1725,108644
1726,28506
1727,131227
1728,111436
1729,34098
1730,5035
1731,135174
1732,5297
1733,10294
1734,71238
1735,82829
1736,38658
1737,131482
1738,102019
1739,36475
1740,8469
1741,14532
1742,382
1743,128973
1744,55683
1745,112864
1746,48582
1747,96612
1748,34290
1749,116017
1750,118035
1751,29912
1752,137823
1753,11153
1754,8023
1755,47351
1756,99900
1757,21016
1758,114272
1759,63524
1760,82197
1761,18840
1762,85404
1763,89162
1764,37461
1765,13968
1766,49465
1767,119780
1768,1446
1769,373
1770,20064
1771,36825
1772,127990
1773,50492
1774,5216
1775,114258
1776,139744
1777,143579
1778,104006
1779,136909
1780,86196
1781,2464
1782,132475
1783,69518
1784,116847
1785,79657
1786,81394
1787,100685
1788,15434
1789,18955
1790,64414
1791,53896
1792,76005
1793,63897
1794,119783
1795,72402
1796,129392
1797,21002
1798,85406
1799,127697
1800,136857
1801,57844
1802,110990
1803,23996
1804,14698
1805,73988
1806,63927
1807,38148
1808,124528
1809,95942
1810,25008
1811,125634
1812,138660
1813,5378
1814,12683
1815,1825
1816,71588
1817,30072
1818,120478
1819,104383
1820,9328
1821,80946
1822,134478
1823,24057
1824,66406
1825,67304
1826,108435
1827,55918
1828,22445
1829,128070
1830,4980
1831,72413
1832,28763
1833,80521
1834,109927
1835,55017
1836,127659
1837,86513
1838,78683
1839,9022
1840,54698
1841,36273
1842,92044
1843,28241
1844,85061
1845,20056
1846,73192
1847,140365
1848,47946
1849,112683
1850,66020
1851,118935
1852,62948
1853,41131
1854,41139
1855,6198
1856,139064
1857,28317
1858,97896
1859,10005
1860,19887
1861,122470
1862,120142
1863,123678
1864,139701
1865,3440
1866,116789
1867,25181
1868,138860
1869,133278
1870,50849
1871,119302
1872,110129
1873,103839
1874,79073
1875,41250
1876,35944
1877,66077
1878,137466
1879,106179
1880,42362
1881,45631
1882,125139
1883,133347
1884,703
1885,55700
1886,11868
1887,126113
1888,12676
1889,10461
1890,41822
1891,118964
1892,12585
1893,66806
1894,66511
1895,139343
1896,131927
1897,83291
1898,22817
1899,61729
1900,94484
1901,31649
1902,53768
1903,29873
1904,51869
1905,123895
1906,23635
1907,24618
1908,117464
1909,84766
1910,37133
1911,30666
1912,117804
1913,33617
1914,72324
1915,104608
1916,68048
1917,83372
1918,70198
1919,82601
1920,83026
1921,32603
1922,137241
1923,98570
1924,52959
1925,15944
1926,102918
1927,117041
1928,10770
1929,99481
1930,88039
1931,70405
1932,49646
1933,97466
1934,127063
1935,9978
1936,88137
1937,37078
1938,134640
1939,104664
1940,54770
1941,114978
1942,130974
1943,3828
1944,32785
1945,75554
1946,142852
1947,80185
1948,72560
1949,109814
1950,120775
1951,87912
1952,105771
1953,20650
1954,104422
1955,108527
1956,32748
1957,76815
1958,67976
1959,137140
1960,36926
1961,39807
1962,13155
1963,121514
1964,32093
1965,21805
1966,135881
1967,105226
1968,92494
1969,135582
1970,47526
1971,145156
1972,103130
1973,58218
1974,90635
1975,117689
1976,94745
1977,80997
1978,43008
1979,86418
1980,27276
1981,135543
1982,26100
1983,109795
1984,117638
1985,116724
1986,111299
1987,82923
1988,14183
1989,36438
1990,22604
1991,101288
1992,88073
1993,49533
1994,120050
1995,25815
1996,9326
1997,118658
1998,109218
1999,99440
2000,87902
2001,3465
2002,30843
2003,106322
2004,22213
2005,30263
2006,68774
2007,138384
2008,36197
2009,67561
2010,17511
2011,119861
2012,76986
2013,102118
2014,109647
2015,114094
2016,124497
2017,64163
2018,41647
2019,33886
2020,80257
2021,27981
2022,87355
2023,95615
2024,19330
2025,13728
2026,126127
2027,5380
2028,39786
2029,11462
2030,145123
2031,135240
2032,114892
2033,120064
2034,81284
2035,81989
2036,143373
2037,122765
2038,51178
2039,89031
2040,28061
2041,82980
2042,15665
2043,8310
2044,19135
2045,138915
2046,103292
2047,73090
2048,123023
2049,64922
2050,112960
2051,106628
2052,26314
2053,5662
2054,49655
2055,79993
2056,60822
2057,8421
2058,134651
2059,89030
2060,94322
2061,94202
2062,92703
2063,1359
2064,145749
2065,122396
2066,21961
2067,60486
2068,6692
2069,78170
2070,48599
2071,6109
2072,120280
2073,28659
2074,37780
2075,119460
2076,101405
2077,39349
2078,29
2079,119432
2080,22908
2081,49165
2082,80034
2083,138460
2084,54910
2085,113181
2086,104944
2087,25323
2088,1720
2089,27349
2090,108153
2091,51532
2092,139806
2093,34637
2094,23107
2095,133508
2096,95199
2097,55241
2098,40147
2099,113378
2100,126336
2101,14078
2102,30128
2103,77093
2104,80681
2105,10449
2106,125107
2107,34314
2108,42965
2109,77060
2110,104697
2111,52878
2112,50507
2113,110191
2114,40074
2115,136236
2116,125760
2117,43725
2118,61510
2119,146147
2120,121779
2121,47958
2122,92660
2123,93806
2124,54683
2125,85395
2126,31399
2127,5616
2128,109242
2129,60897
2130,8256
2131,67970
2132,10998
2133,132504
2134,71064
2135,21216
2136,117453
2137,136327
2138,119665
2139,62530
2140,41748
2141,81075
2142,62789
2143,69636
2144,5703
2145,135460
2146,101358
2147,126642
2148,89598
2149,46146
2150,76617
2151,46753
2152,17046
2153,140278
2154,85784
2155,60063
2156,100187
2157,133320
2158,15090
2159,6280
2160,26945
2161,56021
2162,66238
2163,21038
2164,33991
2165,99123
2166,138489
2167,116013
2168,109954
2169,106575
2170,79171
2171,40411
2172,141226
2173,49659
2174,99702
2175,82189
2176,79673
2177,117842
2178,125496
2179,107693
2180,56840
2181,8329
2182,92484
2183,121878
2184,125596
2185,9506
2186,36537
2187,11856
2188,119125
2189,67580
2190,14980
2191,13256
2192,49782
2193,45394
2194,79675
2195,98149
2196,120089
2197,46810
2198,99184
2199,96758
2200,30323
2201,131181
2202,144205
2203,4492
2204,68850
2205,16313
2206,97627
2207,70390
2208,9744
2209,128693
2210,77108
2211,101021
2212,61332
2213,25341
2214,9258
2215,5185
2216,90044
2217,25518
2218,24410
2219,82631
2220,102487
2221,71365
2222,74180
2223,31152
2224,7914
2225,48652
2226,79058
2227,7838
2228,21703
2229,93389
2230,77411
2231,56721
2232,16823
2233,126749
2234,89696
2235,108231
2236,114430
2237,32252
2238,37478
2239,70491
2240,23471
2241,84898
2242,42060
2243,17659
2244,24494
2245,72461
2246,29112
2247,101201
2248,108680
2249,109891
2250,40262
2251,109053
2252,97815
2253,4632
2254,93584
2255,98929
2256,117444
2257,144985
2258,10927
2259,135533
2260,44933
2261,130607
2262,108985
2263,110247
2264,14172
2265,93640
2266,71536
2267,49686
2268,28589
2269,12302
2270,48672
2271,141959
2272,68582
2273,115268
2274,6914
2275,124902
2276,70596
2277,16743
2278,111367
2279,41407
2280,94328
2281,102185
2282,40374
2283,68333
2284,6699
2285,4276
2286,2768
2287,53005
2288,88345
2289,92374
2290,107115
2291,142602
2292,3754
2293,111554
2294,54339
2295,2645
2296,18303
2297,75761
2298,120492
2299,90569
2300,9818
2301,28485
2302,78558
2303,140109
2304,9609
2305,51812
2306,143872
2307,133409
2308,29460
2309,82151
2310,105635
2311,40115
2312,105430
2313,127372
2314,128362
2315,17499
2316,75681
2317,7107
2318,93653
2319,12118
2320,78743
2321,70885
2322,83567
2323,8682
2324,37684
2325,138931
2326,135117
2327,24714
2328,135067
2329,135277
2330,133743
2331,7701
2332,20591
2333,118219
2334,98451
2335,32140
2336,108622
2337,45280
2338,19695
2339,78885
2340,132273
2341,83876
2342,46670
2343,32002
2344,39635
2345,83748
2346,138738
2347,11873
2348,54005
2349,96720
2350,54754
2351,64372
2352,31248
2353,81755
2354,47522
2355,65985
2356,44948
2357,50316
2358,15467
2359,130256
2360,22844
2361,42689
2362,2969
2363,53911
2364,60549
2365,65672
2366,51935
2367,71004
2368,74163
2369,57575
2370,32557
2371,13095
2372,133808
2373,21072
2374,90672
2375,75091
2376,143608
2377,70538
2378,70753
2379,11818
2380,42681
2381,63201
2382,80065
2383,27014
2384,10850
2385,105797
2386,40465
2387,30877
2388,72613
2389,95487
2390,35883
2391,146149
2392,60237
2393,134894
2394,93124
2395,106644
2396,25418
2397,59012
2398,79211
2399,8855
2400,87690
2401,50890
2402,68622
2403,11990
2404,136753
2405,128396
2406,50679
2407,115759
2408,118145
2409,33334
2410,38513
2411,44586
2412,135111
2413,35819
2414,130615
2415,144469
2416,155
2417,64864
2418,73253
2419,87397
2420,143499
2421,102448
2422,55177
2423,33986
2424,56579
2425,101978
2426,76765
2427,130805
2428,85471
2429,114603
2430,43756
2431,99182
2432,266
2433,17444
2434,34536
2435,103847
2436,135609
2437,52923
2438,4527
2439,66794
2440,65762
2441,13006
2442,65040
2443,132112
2444,106627
2445,54789
2446,39651
2447,895
2448,4176
2449,133410
2450,136692
2451,47905
2452,98511
2453,82982
2454,100020
2455,105596
2456,58613
2457,50063
2458,80341
2459,3353
2460,77900
2461,84609
2462,142662
2463,22652
2464,141417
2465,144080
2466,132770
2467,116139
2468,24378
2469,108466
2470,60429
2471,30067
2472,77622
2473,37683
2474,78959
2475,88455
2476,29978
2477,28766
2478,84352
2479,16700
2480,33171
2481,38769
2482,67565
2483,94103
2484,130708
2485,68336
2486,63858
2487,79027
2488,14426
2489,137530
2490,142913
2491,66872
2492,67828
2493,125738
2494,94498
2495,661
2496,132305
2497,4595
2498,105230
2499,133351
2500,96934
2501,84378
2502,89588
